U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
2.1V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.0 
2.1V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.1 
2.1V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.2 
2.1V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.3 
2.1V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.4 
2.1V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.5 
2.1V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.6 
2.1V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.7 
2.1V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.8 
2.1V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.9 
2.1V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.0 
2.1V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.1 
2.1V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.2 
2.1V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.3 
2.1V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.4 
4.6V;4.4V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;1.5 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;1.6 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;1.7 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;1.8 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;1.9 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;2.0 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;2.1 
4.6V;4.4V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;2.2 
4.6V;4.4V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;2.3 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;2.4 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;2.5 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;2.6 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;2.7 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;2.8 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;2.9 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;3.0 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;3.1 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;3.2 
4.6V;4.5V;0.362A;0.007A;100W;0W;N/A;N/A;N/A;On;CV;None;3.3 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;3.4 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;3.5 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;3.6 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;3.7 
4.6V;4.5V;0.362A;0.012A;100W;0W;N/A;N/A;N/A;On;CV;None;3.8 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;3.9 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;4.0 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;4.1 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;4.2 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;4.3 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;4.4 
4.6V;4.6V;0.362A;0.009A;100W;0W;N/A;N/A;N/A;On;CV;None;4.5 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;4.6 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;4.7 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;4.8 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;4.9 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;5.0 
4.6V;4.7V;0.362A;0.009A;100W;0W;N/A;N/A;N/A;On;CV;None;5.1 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;5.2 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;5.3 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;5.4 
4.6V;4.7V;0.362A;0.009A;100W;0W;N/A;N/A;N/A;On;CV;None;5.5 
4.6V;4.7V;0.362A;0.009A;100W;0W;N/A;N/A;N/A;On;CV;None;5.6 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;5.7 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;5.8 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;5.9 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;6.0 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;6.1 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;6.2 
4.6V;4.7V;0.362A;0.009A;100W;0W;N/A;N/A;N/A;On;CV;None;6.3 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;6.4 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;6.5 
4.6V;4.6V;0.362A;0.012A;100W;0W;N/A;N/A;N/A;On;CV;None;6.6 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;6.7 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;6.8 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;6.9 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.0 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.1 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.2 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.3 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.4 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.5 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.6 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.7 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.8 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.9 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;8.0 
4.6V;4.5V;0.362A;0.017A;100W;0W;N/A;N/A;N/A;On;CV;None;8.1 
4.6V;4.6V;0.362A;0.007A;100W;0W;N/A;N/A;N/A;On;CV;None;8.2 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;8.3 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;8.4 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;8.5 
4.6V;4.4V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;8.6 
4.6V;4.6V;0.362A;0.008A;100W;0W;N/A;N/A;N/A;On;CV;None;8.7 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;8.8 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;8.9 
4.6V;4.5V;0.362A;0.009A;100W;0W;N/A;N/A;N/A;On;CV;None;9.0 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;9.1 
4.6V;4.4V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;9.2 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;9.3 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;9.4 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;9.5 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;9.6 
4.6V;4.5V;0.362A;0.019A;100W;0W;N/A;N/A;N/A;On;CV;None;9.7 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;9.8 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;9.9 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.0 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.1 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.2 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.3 
4.6V;4.6V;0.362A;0.007A;100W;0W;N/A;N/A;N/A;On;CV;None;10.4 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.5 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.6 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.7 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.8 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.9 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.0 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.1 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.2 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.3 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.4 
4.6V;4.5V;0.362A;0.007A;100W;0W;N/A;N/A;N/A;On;CV;None;11.5 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.6 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.7 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.8 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.9 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.0 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.1 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.2 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.3 
4.6V;4.6V;0.362A;0.006A;100W;0W;N/A;N/A;N/A;On;CV;None;12.4 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.5 
4.6V;4.6V;0.362A;0.009A;100W;0W;N/A;N/A;N/A;On;CV;None;12.6 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.7 
4.6V;4.6V;0.362A;0.017A;100W;0W;N/A;N/A;N/A;On;CV;None;12.8 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.9 
