U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19499.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19500.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19500.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19500.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19500.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19500.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19500.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19500.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19500.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19500.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19500.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19501.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19501.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19501.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19501.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19501.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19501.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19501.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19501.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19501.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19501.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19502.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19502.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19502.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19502.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19502.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19502.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19502.6 
