U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
13.0V;0.0V;0.175A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.0 
13.0V;0.0V;0.175A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.1 
13.0V;0.0V;0.175A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.2 
13.0V;0.0V;0.175A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.3 
13.0V;0.0V;0.175A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.4 
13.0V;0.0V;0.175A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.5 
13.0V;0.0V;0.175A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.6 
13.0V;0.0V;0.175A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.7 
13.0V;0.0V;0.175A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.8 
13.0V;0.0V;0.175A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.9 
13.0V;0.0V;0.175A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.0 
13.0V;0.0V;0.175A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.1 
13.0V;12.8V;0.175A;0.064A;100W;0W;N/A;N/A;N/A;On;CV;None;1.2 
13.0V;12.9V;0.175A;0.067A;100W;0W;N/A;N/A;N/A;On;CV;None;1.3 
13.0V;12.9V;0.175A;0.063A;100W;0W;N/A;N/A;N/A;On;CV;None;1.4 
13.0V;12.9V;0.175A;0.062A;100W;0W;N/A;N/A;N/A;On;CV;None;1.5 
13.0V;12.9V;0.175A;0.058A;100W;0W;N/A;N/A;N/A;On;CV;None;1.6 
13.0V;12.9V;0.175A;0.064A;100W;0W;N/A;N/A;N/A;On;CV;None;1.7 
13.0V;12.9V;0.175A;0.058A;100W;0W;N/A;N/A;N/A;On;CV;None;1.8 
13.0V;12.9V;0.175A;0.063A;100W;0W;N/A;N/A;N/A;On;CV;None;1.9 
13.0V;12.9V;0.175A;0.057A;100W;0W;N/A;N/A;N/A;On;CV;None;2.0 
13.0V;12.9V;0.175A;0.057A;100W;0W;N/A;N/A;N/A;On;CV;None;2.1 
13.0V;12.9V;0.175A;0.067A;100W;0W;N/A;N/A;N/A;On;CV;None;2.2 
13.0V;12.9V;0.175A;0.054A;100W;0W;N/A;N/A;N/A;On;CV;None;2.3 
13.0V;12.9V;0.175A;0.050A;100W;0W;N/A;N/A;N/A;On;CV;None;2.4 
13.0V;12.9V;0.175A;0.054A;100W;0W;N/A;N/A;N/A;On;CV;None;2.5 
13.0V;12.9V;0.175A;0.052A;100W;0W;N/A;N/A;N/A;On;CV;None;2.6 
13.0V;12.9V;0.175A;0.067A;100W;0W;N/A;N/A;N/A;On;CV;None;2.7 
13.0V;12.9V;0.175A;0.058A;100W;0W;N/A;N/A;N/A;On;CV;None;2.8 
13.0V;12.9V;0.175A;0.058A;100W;0W;N/A;N/A;N/A;On;CV;None;2.9 
13.0V;12.9V;0.175A;0.057A;100W;0W;N/A;N/A;N/A;On;CV;None;3.0 
13.0V;12.9V;0.175A;0.062A;100W;0W;N/A;N/A;N/A;On;CV;None;3.1 
13.0V;12.9V;0.175A;0.065A;100W;0W;N/A;N/A;N/A;On;CV;None;3.2 
13.0V;12.9V;0.175A;0.059A;100W;0W;N/A;N/A;N/A;On;CV;None;3.3 
13.0V;12.9V;0.175A;0.052A;100W;0W;N/A;N/A;N/A;On;CV;None;3.4 
13.0V;12.9V;0.175A;0.050A;100W;0W;N/A;N/A;N/A;On;CV;None;3.5 
13.0V;12.9V;0.175A;0.056A;100W;0W;N/A;N/A;N/A;On;CV;None;3.6 
13.0V;12.9V;0.175A;0.054A;100W;0W;N/A;N/A;N/A;On;CV;None;3.7 
13.0V;12.9V;0.175A;0.051A;100W;0W;N/A;N/A;N/A;On;CV;None;3.8 
13.0V;12.9V;0.175A;0.056A;100W;0W;N/A;N/A;N/A;On;CV;None;3.9 
13.0V;12.9V;0.175A;0.048A;100W;0W;N/A;N/A;N/A;On;CV;None;4.0 
13.0V;12.9V;0.175A;0.052A;100W;0W;N/A;N/A;N/A;On;CV;None;4.1 
13.0V;12.9V;0.175A;0.051A;100W;0W;N/A;N/A;N/A;On;CV;None;4.2 
13.0V;12.9V;0.175A;0.046A;100W;0W;N/A;N/A;N/A;On;CV;None;4.3 
13.0V;13.0V;0.175A;0.050A;100W;0W;N/A;N/A;N/A;On;CV;None;4.4 
13.0V;13.0V;0.175A;0.060A;100W;0W;N/A;N/A;N/A;On;CV;None;4.5 
13.0V;13.0V;0.175A;0.056A;100W;0W;N/A;N/A;N/A;On;CV;None;4.6 
13.0V;13.0V;0.175A;0.058A;100W;0W;N/A;N/A;N/A;On;CV;None;4.7 
13.0V;13.0V;0.175A;0.059A;100W;0W;N/A;N/A;N/A;On;CV;None;4.8 
13.0V;13.0V;0.175A;0.054A;100W;0W;N/A;N/A;N/A;On;CV;None;4.9 
13.0V;13.0V;0.175A;0.048A;100W;0W;N/A;N/A;N/A;On;CV;None;5.0 
13.0V;13.0V;0.175A;0.047A;100W;0W;N/A;N/A;N/A;On;CV;None;5.1 
13.0V;13.0V;0.175A;0.055A;100W;0W;N/A;N/A;N/A;On;CV;None;5.2 
13.0V;13.0V;0.175A;0.053A;100W;0W;N/A;N/A;N/A;On;CV;None;5.3 
13.0V;12.9V;0.175A;0.055A;100W;0W;N/A;N/A;N/A;On;CV;None;5.4 
13.0V;12.9V;0.175A;0.056A;100W;0W;N/A;N/A;N/A;On;CV;None;5.5 
13.0V;12.9V;0.175A;0.054A;100W;0W;N/A;N/A;N/A;On;CV;None;5.6 
13.0V;12.9V;0.175A;0.052A;100W;0W;N/A;N/A;N/A;On;CV;None;5.7 
13.0V;12.9V;0.175A;0.059A;100W;0W;N/A;N/A;N/A;On;CV;None;5.8 
13.0V;12.9V;0.175A;0.046A;100W;0W;N/A;N/A;N/A;On;CV;None;5.9 
13.0V;12.9V;0.175A;0.066A;100W;0W;N/A;N/A;N/A;On;CV;None;6.0 
13.0V;12.9V;0.175A;0.060A;100W;0W;N/A;N/A;N/A;On;CV;None;6.1 
13.0V;12.9V;0.175A;0.068A;100W;0W;N/A;N/A;N/A;On;CV;None;6.2 
13.0V;12.9V;0.175A;0.053A;100W;0W;N/A;N/A;N/A;On;CV;None;6.3 
13.0V;12.9V;0.175A;0.048A;100W;0W;N/A;N/A;N/A;On;CV;None;6.4 
13.0V;12.9V;0.175A;0.049A;100W;0W;N/A;N/A;N/A;On;CV;None;6.5 
13.0V;12.9V;0.175A;0.054A;100W;0W;N/A;N/A;N/A;On;CV;None;6.6 
13.0V;12.9V;0.175A;0.054A;100W;0W;N/A;N/A;N/A;On;CV;None;6.7 
13.0V;12.9V;0.175A;0.058A;100W;0W;N/A;N/A;N/A;On;CV;None;6.8 
13.0V;12.9V;0.175A;0.042A;100W;0W;N/A;N/A;N/A;On;CV;None;6.9 
13.0V;12.9V;0.175A;0.057A;100W;0W;N/A;N/A;N/A;On;CV;None;7.0 
13.0V;12.9V;0.175A;0.061A;100W;0W;N/A;N/A;N/A;On;CV;None;7.1 
13.0V;12.9V;0.175A;0.059A;100W;0W;N/A;N/A;N/A;On;CV;None;7.2 
13.0V;12.9V;0.175A;0.052A;100W;0W;N/A;N/A;N/A;On;CV;None;7.3 
13.0V;13.0V;0.175A;0.051A;100W;0W;N/A;N/A;N/A;On;CV;None;7.4 
13.0V;13.0V;0.175A;0.053A;100W;0W;N/A;N/A;N/A;On;CV;None;7.5 
13.0V;13.0V;0.175A;0.060A;100W;0W;N/A;N/A;N/A;On;CV;None;7.6 
13.0V;13.0V;0.175A;0.053A;100W;0W;N/A;N/A;N/A;On;CV;None;7.7 
13.0V;13.0V;0.175A;0.053A;100W;0W;N/A;N/A;N/A;On;CV;None;7.8 
13.0V;13.0V;0.175A;0.049A;100W;0W;N/A;N/A;N/A;On;CV;None;7.9 
13.0V;13.0V;0.175A;0.054A;100W;0W;N/A;N/A;N/A;On;CV;None;8.0 
13.0V;13.0V;0.175A;0.052A;100W;0W;N/A;N/A;N/A;On;CV;None;8.1 
13.0V;13.0V;0.175A;0.055A;100W;0W;N/A;N/A;N/A;On;CV;None;8.2 
13.0V;13.0V;0.175A;0.053A;100W;0W;N/A;N/A;N/A;On;CV;None;8.3 
13.0V;13.0V;0.175A;0.052A;100W;0W;N/A;N/A;N/A;On;CV;None;8.4 
13.0V;13.0V;0.175A;0.054A;100W;0W;N/A;N/A;N/A;On;CV;None;8.5 
13.0V;13.0V;0.175A;0.051A;100W;0W;N/A;N/A;N/A;On;CV;None;8.6 
13.0V;13.0V;0.175A;0.058A;100W;0W;N/A;N/A;N/A;On;CV;None;8.7 
13.0V;13.0V;0.175A;0.053A;100W;0W;N/A;N/A;N/A;On;CV;None;8.8 
13.0V;13.0V;0.175A;0.062A;100W;0W;N/A;N/A;N/A;On;CV;None;8.9 
13.0V;13.0V;0.175A;0.060A;100W;0W;N/A;N/A;N/A;On;CV;None;9.0 
13.0V;13.0V;0.175A;0.054A;100W;0W;N/A;N/A;N/A;On;CV;None;9.1 
13.0V;13.0V;0.175A;0.059A;100W;0W;N/A;N/A;N/A;On;CV;None;9.2 
13.0V;13.0V;0.175A;0.056A;100W;0W;N/A;N/A;N/A;On;CV;None;9.3 
13.0V;13.0V;0.175A;0.062A;100W;0W;N/A;N/A;N/A;On;CV;None;9.4 
13.0V;13.0V;0.175A;0.055A;100W;0W;N/A;N/A;N/A;On;CV;None;9.5 
13.0V;13.0V;0.175A;0.056A;100W;0W;N/A;N/A;N/A;On;CV;None;9.6 
13.0V;13.0V;0.175A;0.046A;100W;0W;N/A;N/A;N/A;On;CV;None;9.7 
13.0V;13.0V;0.175A;0.050A;100W;0W;N/A;N/A;N/A;On;CV;None;9.8 
13.0V;13.0V;0.175A;0.049A;100W;0W;N/A;N/A;N/A;On;CV;None;9.9 
13.0V;13.0V;0.175A;0.054A;100W;0W;N/A;N/A;N/A;On;CV;None;10.0 
13.0V;12.9V;0.175A;0.058A;100W;0W;N/A;N/A;N/A;On;CV;None;10.1 
13.0V;12.9V;0.175A;0.054A;100W;0W;N/A;N/A;N/A;On;CV;None;10.2 
13.0V;12.9V;0.175A;0.054A;100W;0W;N/A;N/A;N/A;On;CV;None;10.3 
13.0V;12.9V;0.175A;0.055A;100W;0W;N/A;N/A;N/A;On;CV;None;10.4 
13.0V;12.9V;0.175A;0.058A;100W;0W;N/A;N/A;N/A;On;CV;None;10.5 
13.0V;12.9V;0.175A;0.049A;100W;0W;N/A;N/A;N/A;On;CV;None;10.6 
13.0V;12.9V;0.175A;0.062A;100W;0W;N/A;N/A;N/A;On;CV;None;10.7 
13.0V;12.9V;0.175A;0.065A;100W;0W;N/A;N/A;N/A;On;CV;None;10.8 
13.0V;12.9V;0.175A;0.065A;100W;0W;N/A;N/A;N/A;On;CV;None;10.9 
13.0V;12.9V;0.175A;0.060A;100W;0W;N/A;N/A;N/A;On;CV;None;11.0 
13.0V;12.9V;0.175A;0.054A;100W;0W;N/A;N/A;N/A;On;CV;None;11.1 
13.0V;12.9V;0.175A;0.056A;100W;0W;N/A;N/A;N/A;On;CV;None;11.2 
13.0V;12.9V;0.175A;0.061A;100W;0W;N/A;N/A;N/A;On;CV;None;11.3 
13.0V;12.9V;0.175A;0.061A;100W;0W;N/A;N/A;N/A;On;CV;None;11.4 
13.0V;12.9V;0.175A;0.054A;100W;0W;N/A;N/A;N/A;On;CV;None;11.5 
13.0V;12.9V;0.175A;0.068A;100W;0W;N/A;N/A;N/A;On;CV;None;11.6 
13.0V;12.9V;0.175A;0.055A;100W;0W;N/A;N/A;N/A;On;CV;None;11.7 
13.0V;12.9V;0.175A;0.045A;100W;0W;N/A;N/A;N/A;On;CV;None;11.8 
13.0V;12.9V;0.175A;0.056A;100W;0W;N/A;N/A;N/A;On;CV;None;11.9 
13.0V;12.9V;0.175A;0.053A;100W;0W;N/A;N/A;N/A;On;CV;None;12.0 
13.0V;12.9V;0.175A;0.042A;100W;0W;N/A;N/A;N/A;On;CV;None;12.1 
13.0V;12.9V;0.175A;0.054A;100W;0W;N/A;N/A;N/A;On;CV;None;12.2 
13.0V;12.9V;0.175A;0.060A;100W;0W;N/A;N/A;N/A;On;CV;None;12.3 
13.0V;13.0V;0.175A;0.057A;100W;0W;N/A;N/A;N/A;On;CV;None;12.4 
13.0V;13.0V;0.175A;0.052A;100W;0W;N/A;N/A;N/A;On;CV;None;12.5 
13.0V;13.0V;0.175A;0.063A;100W;0W;N/A;N/A;N/A;On;CV;None;12.6 
13.0V;12.9V;0.175A;0.060A;100W;0W;N/A;N/A;N/A;On;CV;None;12.7 
13.0V;12.9V;0.175A;0.057A;100W;0W;N/A;N/A;N/A;On;CV;None;12.8 
13.0V;12.9V;0.175A;0.052A;100W;0W;N/A;N/A;N/A;On;CV;None;12.9 
13.0V;12.9V;0.175A;0.059A;100W;0W;N/A;N/A;N/A;On;CV;None;13.0 
13.0V;12.9V;0.175A;0.050A;100W;0W;N/A;N/A;N/A;On;CV;None;13.1 
13.0V;12.9V;0.175A;0.060A;100W;0W;N/A;N/A;N/A;On;CV;None;13.2 
13.0V;13.0V;0.175A;0.056A;100W;0W;N/A;N/A;N/A;On;CV;None;13.3 
13.0V;13.0V;0.175A;0.054A;100W;0W;N/A;N/A;N/A;On;CV;None;13.4 
13.0V;13.0V;0.175A;0.052A;100W;0W;N/A;N/A;N/A;On;CV;None;13.5 
13.0V;12.9V;0.175A;0.056A;100W;0W;N/A;N/A;N/A;On;CV;None;13.6 
