U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
45.0V;0.0V;0.168A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.0 
45.0V;0.0V;0.168A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.1 
45.0V;0.0V;0.168A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.2 
45.0V;0.0V;0.168A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.3 
45.0V;0.0V;0.168A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.4 
45.0V;0.0V;0.168A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.5 
45.0V;0.0V;0.168A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.6 
45.0V;0.0V;0.168A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.7 
45.0V;0.0V;0.168A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.8 
45.0V;0.0V;0.168A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.9 
45.0V;0.0V;0.168A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.0 
45.0V;0.0V;0.168A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.1 
45.0V;0.0V;0.168A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.2 
45.0V;0.0V;0.168A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.3 
45.0V;0.0V;0.168A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.4 
45.0V;0.0V;0.168A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.5 
45.0V;0.0V;0.168A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.6 
110.0V;0.0V;0.185A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.7 
110.0V;108.6V;0.185A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;1.8 
110.0V;109.8V;0.185A;0.013A;100W;0W;N/A;N/A;N/A;On;CV;None;1.9 
110.0V;109.8V;0.185A;0.013A;100W;0W;N/A;N/A;N/A;On;CV;None;2.0 
110.0V;109.8V;0.185A;0.014A;100W;0W;N/A;N/A;N/A;On;CV;None;2.1 
110.0V;109.8V;0.185A;0.014A;100W;0W;N/A;N/A;N/A;On;CV;None;2.2 
110.0V;109.8V;0.185A;0.015A;100W;0W;N/A;N/A;N/A;On;CV;None;2.3 
110.0V;109.8V;0.185A;0.015A;100W;0W;N/A;N/A;N/A;On;CV;None;2.4 
110.0V;109.8V;0.185A;0.014A;100W;0W;N/A;N/A;N/A;On;CV;None;2.5 
110.0V;109.8V;0.185A;0.014A;100W;0W;N/A;N/A;N/A;On;CV;None;2.6 
110.0V;109.8V;0.185A;0.016A;100W;0W;N/A;N/A;N/A;On;CV;None;2.7 
110.0V;109.8V;0.185A;0.019A;100W;0W;N/A;N/A;N/A;On;CV;None;2.8 
110.0V;109.8V;0.185A;0.017A;100W;0W;N/A;N/A;N/A;On;CV;None;2.9 
110.0V;109.8V;0.185A;0.018A;100W;0W;N/A;N/A;N/A;On;CV;None;3.0 
110.0V;109.8V;0.185A;0.017A;100W;0W;N/A;N/A;N/A;On;CV;None;3.1 
110.0V;109.8V;0.185A;0.019A;100W;0W;N/A;N/A;N/A;On;CV;None;3.2 
110.0V;109.8V;0.185A;0.021A;100W;0W;N/A;N/A;N/A;On;CV;None;3.3 
110.0V;109.8V;0.185A;0.021A;100W;0W;N/A;N/A;N/A;On;CV;None;3.4 
110.0V;109.8V;0.185A;0.023A;100W;0W;N/A;N/A;N/A;On;CV;None;3.5 
110.0V;109.8V;0.185A;0.024A;100W;0W;N/A;N/A;N/A;On;CV;None;3.6 
110.0V;109.8V;0.185A;0.026A;100W;0W;N/A;N/A;N/A;On;CV;None;3.7 
110.0V;109.8V;0.185A;0.025A;100W;0W;N/A;N/A;N/A;On;CV;None;3.8 
110.0V;109.8V;0.185A;0.031A;100W;3W;N/A;N/A;N/A;On;CV;None;3.9 
110.0V;109.8V;0.185A;0.032A;100W;3W;N/A;N/A;N/A;On;CV;None;4.0 
110.0V;109.8V;0.185A;0.036A;100W;4W;N/A;N/A;N/A;On;CV;None;4.1 
110.0V;109.8V;0.185A;0.054A;100W;6W;N/A;N/A;N/A;On;CV;None;4.2 
110.0V;109.8V;0.185A;0.097A;100W;10W;N/A;N/A;N/A;On;CV;None;4.3 
110.0V;26.1V;0.185A;0.186A;100W;5W;N/A;N/A;N/A;On;CC;None;4.4 
110.0V;31.3V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;4.5 
110.0V;37.3V;0.185A;0.186A;100W;7W;N/A;N/A;N/A;On;CC;None;4.6 
110.0V;41.2V;0.185A;0.187A;100W;7W;N/A;N/A;N/A;On;CC;None;4.7 
110.0V;41.2V;0.185A;0.187A;100W;7W;N/A;N/A;N/A;On;CC;None;4.8 
110.0V;40.7V;0.185A;0.187A;100W;7W;N/A;N/A;N/A;On;CC;None;4.9 
110.0V;41.1V;0.185A;0.186A;100W;7W;N/A;N/A;N/A;On;CC;None;5.0 
110.0V;40.8V;0.185A;0.187A;100W;7W;N/A;N/A;N/A;On;CC;None;5.1 
110.0V;40.1V;0.185A;0.187A;100W;7W;N/A;N/A;N/A;On;CC;None;5.2 
110.0V;39.8V;0.185A;0.186A;100W;7W;N/A;N/A;N/A;On;CC;None;5.3 
110.0V;39.5V;0.185A;0.186A;100W;7W;N/A;N/A;N/A;On;CC;None;5.4 
110.0V;39.2V;0.185A;0.186A;100W;7W;N/A;N/A;N/A;On;CC;None;5.5 
110.0V;38.9V;0.185A;0.186A;100W;7W;N/A;N/A;N/A;On;CC;None;5.6 
110.0V;38.7V;0.185A;0.187A;100W;7W;N/A;N/A;N/A;On;CC;None;5.7 
110.0V;38.5V;0.185A;0.186A;100W;7W;N/A;N/A;N/A;On;CC;None;5.8 
110.0V;38.3V;0.185A;0.186A;100W;7W;N/A;N/A;N/A;On;CC;None;5.9 
110.0V;38.2V;0.185A;0.186A;100W;7W;N/A;N/A;N/A;On;CC;None;6.0 
110.0V;37.7V;0.185A;0.186A;100W;7W;N/A;N/A;N/A;On;CC;None;6.1 
110.0V;37.6V;0.185A;0.187A;100W;7W;N/A;N/A;N/A;On;CC;None;6.2 
110.0V;37.4V;0.185A;0.186A;100W;7W;N/A;N/A;N/A;On;CC;None;6.3 
110.0V;37.3V;0.185A;0.187A;100W;7W;N/A;N/A;N/A;On;CC;None;6.4 
110.0V;37.1V;0.185A;0.186A;100W;7W;N/A;N/A;N/A;On;CC;None;6.5 
110.0V;37.0V;0.185A;0.187A;100W;7W;N/A;N/A;N/A;On;CC;None;6.6 
110.0V;36.9V;0.185A;0.187A;100W;7W;N/A;N/A;N/A;On;CC;None;6.7 
110.0V;36.8V;0.185A;0.186A;100W;7W;N/A;N/A;N/A;On;CC;None;6.8 
110.0V;36.6V;0.185A;0.186A;100W;7W;N/A;N/A;N/A;On;CC;None;6.9 
110.0V;36.5V;0.185A;0.186A;100W;7W;N/A;N/A;N/A;On;CC;None;7.0 
110.0V;36.5V;0.185A;0.186A;100W;7W;N/A;N/A;N/A;On;CC;None;7.1 
110.0V;36.5V;0.185A;0.187A;100W;7W;N/A;N/A;N/A;On;CC;None;7.2 
110.0V;36.3V;0.185A;0.187A;100W;7W;N/A;N/A;N/A;On;CC;None;7.3 
110.0V;36.2V;0.185A;0.186A;100W;7W;N/A;N/A;N/A;On;CC;None;7.4 
110.0V;36.2V;0.185A;0.186A;100W;7W;N/A;N/A;N/A;On;CC;None;7.5 
110.0V;36.0V;0.185A;0.187A;100W;7W;N/A;N/A;N/A;On;CC;None;7.6 
110.0V;35.8V;0.185A;0.187A;100W;7W;N/A;N/A;N/A;On;CC;None;7.7 
110.0V;35.8V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;7.8 
110.0V;35.8V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;7.9 
110.0V;35.7V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;8.0 
110.0V;35.6V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;8.1 
110.0V;35.6V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;8.2 
110.0V;35.6V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;8.3 
110.0V;35.5V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;8.4 
110.0V;35.5V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;8.5 
110.0V;35.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;8.6 
110.0V;35.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;8.7 
110.0V;35.3V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;8.8 
110.0V;35.3V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;8.9 
110.0V;35.2V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;9.0 
110.0V;35.2V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;9.1 
110.0V;35.1V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;9.2 
110.0V;35.1V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;9.3 
110.0V;35.0V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;9.4 
110.0V;35.0V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;9.5 
110.0V;35.0V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;9.6 
110.0V;34.9V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;9.7 
110.0V;34.8V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;9.8 
110.0V;34.8V;0.185A;0.185A;100W;6W;N/A;N/A;N/A;On;CC;None;9.9 
110.0V;34.8V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;10.0 
110.0V;34.8V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;10.1 
110.0V;34.8V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;10.2 
110.0V;34.8V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;10.3 
110.0V;34.8V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;10.4 
110.0V;34.7V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CV;None;10.5 
110.0V;34.7V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;10.6 
110.0V;34.9V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;10.7 
110.0V;34.9V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;10.8 
