U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
70.3V;0.0V;0.157A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.0 
70.3V;0.0V;0.157A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.1 
70.3V;0.0V;0.157A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.2 
70.3V;0.0V;0.157A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.3 
70.3V;0.0V;0.157A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.4 
70.3V;0.0V;0.157A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.5 
70.3V;0.0V;0.157A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.6 
70.3V;0.0V;0.157A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.7 
70.3V;0.0V;0.157A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.8 
70.3V;0.0V;0.157A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.9 
70.3V;0.0V;0.157A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.0 
70.3V;0.0V;0.157A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.1 
70.3V;0.0V;0.157A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.2 
75.0V;74.8V;0.142A;0.011A;100W;0W;N/A;N/A;N/A;On;CV;None;1.3 
75.0V;74.8V;0.142A;0.015A;100W;0W;N/A;N/A;N/A;On;CV;None;1.4 
75.0V;74.8V;0.142A;0.012A;100W;0W;N/A;N/A;N/A;On;CV;None;1.5 
75.0V;74.8V;0.142A;0.015A;100W;0W;N/A;N/A;N/A;On;CV;None;1.6 
75.0V;74.8V;0.142A;0.014A;100W;0W;N/A;N/A;N/A;On;CV;None;1.7 
75.0V;74.8V;0.142A;0.014A;100W;0W;N/A;N/A;N/A;On;CV;None;1.8 
75.0V;74.8V;0.142A;0.013A;100W;0W;N/A;N/A;N/A;On;CV;None;1.9 
75.0V;74.8V;0.142A;0.014A;100W;0W;N/A;N/A;N/A;On;CV;None;2.0 
75.0V;74.8V;0.142A;0.014A;100W;0W;N/A;N/A;N/A;On;CV;None;2.1 
75.0V;74.8V;0.142A;0.015A;100W;0W;N/A;N/A;N/A;On;CV;None;2.2 
75.0V;74.8V;0.142A;0.015A;100W;0W;N/A;N/A;N/A;On;CV;None;2.3 
75.0V;74.8V;0.142A;0.017A;100W;0W;N/A;N/A;N/A;On;CV;None;2.4 
75.0V;74.8V;0.142A;0.015A;100W;0W;N/A;N/A;N/A;On;CV;None;2.5 
75.0V;74.8V;0.142A;0.016A;100W;0W;N/A;N/A;N/A;On;CV;None;2.6 
75.0V;74.8V;0.142A;0.019A;100W;0W;N/A;N/A;N/A;On;CV;None;2.7 
75.0V;74.8V;0.142A;0.019A;100W;0W;N/A;N/A;N/A;On;CV;None;2.8 
75.0V;74.8V;0.142A;0.024A;100W;0W;N/A;N/A;N/A;On;CV;None;2.9 
75.0V;74.8V;0.142A;0.020A;100W;0W;N/A;N/A;N/A;On;CV;None;3.0 
75.0V;74.8V;0.142A;0.022A;100W;0W;N/A;N/A;N/A;On;CV;None;3.1 
75.0V;74.8V;0.142A;0.025A;100W;0W;N/A;N/A;N/A;On;CV;None;3.2 
75.0V;74.8V;0.142A;0.025A;100W;0W;N/A;N/A;N/A;On;CV;None;3.3 
75.0V;74.8V;0.142A;0.024A;100W;0W;N/A;N/A;N/A;On;CV;None;3.4 
75.0V;74.8V;0.142A;0.031A;100W;0W;N/A;N/A;N/A;On;CV;None;3.5 
75.0V;74.8V;0.142A;0.029A;100W;0W;N/A;N/A;N/A;On;CV;None;3.6 
75.0V;74.8V;0.142A;0.030A;100W;0W;N/A;N/A;N/A;On;CV;None;3.7 
75.0V;74.8V;0.142A;0.037A;100W;0W;N/A;N/A;N/A;On;CV;None;3.8 
75.0V;74.9V;0.142A;0.039A;100W;0W;N/A;N/A;N/A;On;CV;None;3.9 
75.0V;74.9V;0.142A;0.046A;100W;3W;N/A;N/A;N/A;On;CV;None;4.0 
75.0V;74.9V;0.142A;0.049A;100W;3W;N/A;N/A;N/A;On;CV;None;4.1 
75.0V;74.9V;0.142A;0.061A;100W;4W;N/A;N/A;N/A;On;CV;None;4.2 
75.0V;74.9V;0.142A;0.069A;100W;5W;N/A;N/A;N/A;On;CV;None;4.3 
75.0V;74.9V;0.142A;0.112A;100W;8W;N/A;N/A;N/A;On;CV;None;4.4 
75.0V;21.0V;0.142A;0.144A;100W;0W;N/A;N/A;N/A;On;CC;None;4.5 
75.0V;21.0V;0.142A;0.144A;100W;0W;N/A;N/A;N/A;On;CC;None;4.6 
75.0V;23.5V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;4.7 
75.0V;24.3V;0.142A;0.146A;100W;3W;N/A;N/A;N/A;On;CC;None;4.8 
75.0V;25.3V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;4.9 
75.0V;25.9V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;5.0 
75.0V;26.0V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;5.1 
75.0V;26.1V;0.142A;0.145A;100W;4W;N/A;N/A;N/A;On;CC;None;5.2 
75.0V;26.2V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;5.3 
75.0V;26.2V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;5.4 
75.0V;26.2V;0.142A;0.145A;100W;4W;N/A;N/A;N/A;On;CC;None;5.5 
75.0V;26.1V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;5.6 
75.0V;25.9V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;5.7 
75.0V;25.8V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;5.8 
75.0V;25.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;5.9 
75.0V;25.5V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;6.0 
75.0V;25.3V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;6.1 
75.0V;25.1V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;6.2 
75.0V;25.0V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;6.3 
75.0V;24.9V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;6.4 
75.0V;24.8V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;6.5 
75.0V;24.7V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;6.6 
75.0V;24.5V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;6.7 
75.0V;24.5V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;6.8 
75.0V;24.5V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;6.9 
75.0V;24.4V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;7.0 
75.0V;24.3V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;7.1 
75.0V;24.2V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;7.2 
75.0V;24.2V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;7.3 
75.0V;24.1V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;7.4 
75.0V;24.1V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;7.5 
75.0V;24.0V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;7.6 
75.0V;24.0V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;7.7 
75.0V;24.0V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;7.8 
75.0V;23.9V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;7.9 
75.0V;23.9V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;8.0 
75.0V;23.8V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;8.1 
75.0V;23.8V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;8.2 
75.0V;23.8V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;8.3 
75.0V;23.8V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;8.4 
75.0V;23.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;8.5 
75.0V;23.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;8.6 
75.0V;23.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;8.7 
75.0V;23.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;8.8 
75.0V;23.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;8.9 
75.0V;23.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;9.0 
75.0V;23.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;9.1 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;9.2 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;9.3 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;9.4 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;9.5 
75.0V;23.6V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;9.6 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;9.7 
75.0V;23.6V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;9.8 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;9.9 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;10.0 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;10.1 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;10.2 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;10.3 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;10.4 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;10.5 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;10.6 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;10.7 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;10.8 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;10.9 
75.0V;23.6V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;11.0 
