U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6499.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6500.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6500.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6500.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6500.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6500.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6500.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6500.6 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6500.7 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6500.8 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6500.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6501.0 
300,0V;201,2V;0,100A;0,100A;100W;20W;N/A;N/A;N/A;On;CC;None;6501.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6501.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6501.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6501.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6501.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6501.6 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6501.7 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6501.8 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6501.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6502.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6502.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6502.2 
300,0V;201,2V;0,100A;0,102A;100W;20W;N/A;N/A;N/A;On;CC;None;6502.3 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6502.4 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6502.5 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6502.6 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6502.7 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6502.8 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6502.9 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6503.0 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6503.1 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6503.2 
300,0V;201,1V;0,100A;0,100A;100W;20W;N/A;N/A;N/A;On;CC;None;6503.3 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6503.4 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6503.5 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6503.6 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6503.7 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6503.8 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6503.9 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6504.0 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6504.1 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6504.2 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6504.3 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6504.4 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6504.5 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6504.6 
300,0V;201,1V;0,100A;0,100A;100W;20W;N/A;N/A;N/A;On;CC;None;6504.7 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6504.8 
300,0V;201,1V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6504.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6505.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6505.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6505.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6505.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6505.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CV;None;6505.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6505.6 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6505.7 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6505.8 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6505.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.2 
300,0V;201,2V;0,100A;0,100A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.5 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.6 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.7 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.8 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.0 
300,0V;201,2V;0,100A;0,100A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.6 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.7 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.8 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6508.0 
