U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.0 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.1 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.2 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.3 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.4 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.5 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.6 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.7 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.8 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;0.9 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.0 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.1 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.2 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.3 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.4 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.5 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.6 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.7 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.8 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;1.9 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;2.0 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;2.1 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;2.2 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;2.3 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;2.4 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;2.5 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;2.6 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;2.7 
5,0V;0,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;Off;Off;None;2.8 
