Wavelength(nm), Raman shift(cm^-1), Intensity(arb) 
525.370522,-194.34305441739858,59766
525.358038,-194.79536075947718,59852
525.345554,-195.24768859823178,59922
525.33307,-195.70003793519538,60033
525.320586,-196.15240877190544,60072
525.308102,-196.60480110989712,60112
525.295618,-197.0572149506927,60093
525.283134,-197.50965029583173,60077
525.27065,-197.96210714684943,60039
525.258166,-198.41458550527886,59993
525.245682,-198.86708537264877,60031
525.233198,-199.31960675049436,60007
525.220714,-199.77214964035304,59921
525.20823,-200.22471404376003,60062
525.195746,-200.6772999622419,59924
525.183262,-201.12990739733607,59977
525.170778,-201.58253635057773,60045
525.158294,-202.03518682350864,60009
525.14581,-202.48785881765102,60024
525.133326,-202.9405523345444,60060
525.120842,-203.39326737572623,60063
525.108358,-203.8460039427339,59968
525.095874,-204.29876203709608,60166
525.08339,-204.75154166035023,59962
525.070906,-205.20434281403158,60031
525.058422,-205.657165499684,60066
525.045938,-206.1100097188319,60021
525.033454,-206.5628754730148,60008
525.02097,-207.01576276377017,59977
525.008486,-207.4686715926397,60106
524.996002,-207.92160196115,59964
524.983518,-208.37455387084057,60069
524.971034,-208.82752732325102,60018
524.95855,-209.2805223199209,60038
524.946066,-209.73353886238107,59932
524.933582,-210.186576952169,60050
524.921098,-210.6396365908242,60039
524.908614,-211.09271777988843,59944
524.89613,-211.5458205208926,60035
524.883646,-211.99894481537407,60021
524.871162,-212.45209066487462,60009
524.858678,-212.90525807093158,59973
524.846194,-213.35844703508894,60022
524.83371,-213.81165755887318,60051
524.821226,-214.26488964382827,59926
524.808742,-214.7181432914937,60045
524.796258,-215.1714185034113,59985
524.783774,-215.62471528111405,60016
524.77129,-216.07803362614374,60066
524.758806,-216.53137354003772,59944
524.746322,-216.9847350243421,60002
524.733838,-217.43811808058777,60025
524.721354,-217.8915227103186,60015
524.70887,-218.3449489150742,59981
524.696386,-218.79839669639847,59993
524.683902,-219.2518660558223,60019
524.671418,-219.7053569948917,60026
524.658934,-220.15886951514634,60024
524.64645,-220.61240361813222,59992
524.633966,-221.06595930538026,60041
524.621482,-221.51953657843652,59996
524.608998,-221.9731354388406,59983
524.596514,-222.4267558881385,60011
524.58403,-222.88039792786336,60024
524.571546,-223.3340615595612,59976
524.559062,-223.78774678477382,59963
524.546578,-224.24145360504505,60013
524.534094,-224.69518202191014,59947
524.52161,-225.14893203691736,60005
524.509126,-225.6027036516041,59953
524.496642,-226.05649686752074,59955
524.484158,-226.51031168620037,60008
524.471674,-226.96414810918904,60001
524.45919,-227.41800613802852,59987
524.446706,-227.87188577426917,59920
524.434222,-228.3257870194441,59949
524.421738,-228.77970987510153,60031
524.409254,-229.23365434278105,59941
524.39677,-229.68762042403517,60014
524.384286,-230.14160812039702,59935
524.371802,-230.59561743341484,60062
524.359318,-231.04964836463031,59869
524.346834,-231.50370091559606,60055
524.33435,-231.9577750878451,59952
524.321866,-232.41187088292793,59967
524.309382,-232.86598830238617,60035
524.296898,-233.32012734776816,60017
