Wavelength(nm), Raman shift(cm^-1), Intensity(arb) 
553.370522,768.7678709118609,59832
553.358038,768.3601795435875,59946
553.345554,767.9524697795084,59943
553.33307,767.5447416183789,60005
553.320586,767.1369950589522,60162
553.308102,766.7292300999793,60180
553.295618,766.321446740222,60197
553.283134,765.9136449784291,60185
553.27065,765.5058248133583,60118
553.258166,765.0979862437583,60222
553.245682,764.6901292683908,60124
553.233198,764.2822538860049,60087
553.220714,763.8743600953579,60143
553.20823,763.4664478951966,60159
553.195746,763.0585172842827,60005
553.183262,762.6505682613673,60090
553.170778,762.2426008252036,60060
553.158294,761.8346149745404,60181
553.14581,761.4266107081372,60223
553.133326,761.0185880247452,60192
553.120842,760.6105469231176,60112
553.108358,760.202487402003,60127
553.095874,759.7944094601592,60098
553.08339,759.3863130963391,60108
553.070906,758.9781983092939,60218
553.058422,758.5700650977723,60112
553.045938,758.1619134605319,60152
553.033454,757.7537433963257,60173
553.02097,757.3455549039006,60055
553.008486,756.9373479820074,60181
552.996002,756.529122629406,60183
552.983518,756.1208788448427,60133
552.971034,755.7126166270709,60126
552.95855,755.3043359748374,60126
552.946066,754.8960368869017,60141
552.933582,754.4877193620104,60177
552.921098,754.0793833989146,60153
552.908614,753.671028996363,60181
552.89613,753.2626561531134,60127
552.883646,752.8542648679122,60124
552.871162,752.4458551395104,60149
552.858678,752.0374269666613,60083
552.846194,751.6289803481072,60212
552.83371,751.2205152826077,60106
552.821226,750.8120317689096,60104
552.808742,750.4035298057637,60130
552.796258,749.9950093919146,60206
552.783774,749.586470526122,60155
552.77129,749.1779132071304,60122
552.758806,748.7693374336906,60155
552.746322,748.3607432045474,60161
552.733838,747.9521305184559,60183
552.721354,747.5434993741673,60164
552.70887,747.134849770426,60174
552.696386,746.7261817059784,60123
552.683902,746.3174951795825,60120
552.671418,745.9087901899825,60154
552.658934,745.500066735925,60189
552.64645,745.091324816159,60076
552.633966,744.6825644294398,60131
552.621482,744.2737855745097,60124
552.608998,743.8649882501174,60174
552.596514,743.4561724550099,60167
552.58403,743.0473381879422,60200
552.571546,742.6384854476568,60167
552.559062,742.2296142329003,60145
552.546578,741.8207245424215,60107
552.534094,741.4118163749715,60109
552.52161,741.002889729297,60082
552.509126,740.5939446041443,60203
552.496642,740.1849809982541,60220
552.484158,739.7759989103856,60128
552.471674,739.3669983392814,60218
552.45919,738.957979283686,60158
552.446706,738.5489417423437,60146
552.434222,738.13988571401,60112
552.421738,737.730811197425,60124
552.409254,737.3217181913398,60055
552.39677,736.9126066944921,60135
552.384286,736.5034767056397,60160
552.371802,736.0943282235205,60137
552.359318,735.6851612468854,60117
552.346834,735.2759757744748,60128
552.33435,734.8667718050416,60131
552.321866,734.4575493373283,60176
552.309382,734.0483083700792,60115
552.296898,733.6390489020412,60216
