Wavelength(nm), Raman shift(cm^-1), Intensity(arb) 
525.370522,-194.34305441739858,59887
525.358038,-194.79536075947718,60004
525.345554,-195.24768859823178,60129
525.33307,-195.70003793519538,60201
525.320586,-196.15240877190544,60214
525.308102,-196.60480110989712,60228
525.295618,-197.0572149506927,60215
525.283134,-197.50965029583173,60195
525.27065,-197.96210714684943,60142
525.258166,-198.41458550527886,60229
525.245682,-198.86708537264877,60197
525.233198,-199.31960675049436,60134
525.220714,-199.77214964035304,60176
525.20823,-200.22471404376003,60233
525.195746,-200.6772999622419,60211
525.183262,-201.12990739733607,60098
525.170778,-201.58253635057773,60136
525.158294,-202.03518682350864,60161
525.14581,-202.48785881765102,60137
525.133326,-202.9405523345444,60196
525.120842,-203.39326737572623,60246
525.108358,-203.8460039427339,60202
525.095874,-204.29876203709608,60284
525.08339,-204.75154166035023,60168
525.070906,-205.20434281403158,60121
525.058422,-205.657165499684,60144
525.045938,-206.1100097188319,60162
525.033454,-206.5628754730148,60053
525.02097,-207.01576276377017,60247
525.008486,-207.4686715926397,60132
524.996002,-207.92160196115,60200
524.983518,-208.37455387084057,60154
524.971034,-208.82752732325102,60236
524.95855,-209.2805223199209,60169
524.946066,-209.73353886238107,60236
524.933582,-210.186576952169,60201
524.921098,-210.6396365908242,60176
524.908614,-211.09271777988843,60182
524.89613,-211.5458205208926,60206
524.883646,-211.99894481537407,60170
524.871162,-212.45209066487462,60148
524.858678,-212.90525807093158,60196
524.846194,-213.35844703508894,60187
524.83371,-213.81165755887318,60151
524.821226,-214.26488964382827,60232
524.808742,-214.7181432914937,60113
524.796258,-215.1714185034113,60182
524.783774,-215.62471528111405,60258
524.77129,-216.07803362614374,60216
524.758806,-216.53137354003772,60158
524.746322,-216.9847350243421,60085
524.733838,-217.43811808058777,60168
524.721354,-217.8915227103186,60166
524.70887,-218.3449489150742,60221
524.696386,-218.79839669639847,60094
524.683902,-219.2518660558223,60266
524.671418,-219.7053569948917,60149
524.658934,-220.15886951514634,60159
524.64645,-220.61240361813222,60250
524.633966,-221.06595930538026,60207
524.621482,-221.51953657843652,60140
524.608998,-221.9731354388406,60195
524.596514,-222.4267558881385,60230
524.58403,-222.88039792786336,60216
524.571546,-223.3340615595612,60153
524.559062,-223.78774678477382,60205
524.546578,-224.24145360504505,60208
524.534094,-224.69518202191014,60146
524.52161,-225.14893203691736,60103
524.509126,-225.6027036516041,60232
524.496642,-226.05649686752074,60188
524.484158,-226.51031168620037,60200
524.471674,-226.96414810918904,60171
524.45919,-227.41800613802852,60135
524.446706,-227.87188577426917,60124
524.434222,-228.3257870194441,60188
524.421738,-228.77970987510153,60196
524.409254,-229.23365434278105,60205
524.39677,-229.68762042403517,60235
524.384286,-230.14160812039702,60129
524.371802,-230.59561743341484,60250
524.359318,-231.04964836463031,60170
524.346834,-231.50370091559606,60161
524.33435,-231.9577750878451,60227
524.321866,-232.41187088292793,60159
524.309382,-232.86598830238617,60249
524.296898,-233.32012734776816,60185
524.284414,-233.7742880206199,60236
524.27193,-234.22847032247884,60167
524.259446,-234.68267425489535,60190
524.246962,-235.13689981941337,60195
524.234478,-235.59114701758327,60218
524.221994,-236.04541585094248,60232
524.20951,-236.49970632103924,60135
524.197026,-236.95401842942178,60213
524.184542,-237.40835217763833,60272
524.172058,-237.86270756722848,60254
524.159574,-238.31708459974044,60178
524.14709,-238.7714832767225,60141
524.134606,-239.22590359972503,60216
524.122122,-239.68034557028543,60103
524.109638,-240.13480918995845,60209
524.097154,-240.58929446028583,60224
524.08467,-241.04380138282232,60188
524.072186,-241.49832995910532,60234
524.059702,-241.9528801906874,60129
524.047218,-242.4074520791168,60145
524.034734,-242.86204562594392,60286
524.02225,-243.31666083271054,60167
524.009766,-243.771297700967,60216
523.997282,-244.2259562322616,60203
523.984798,-244.6806364281469,60317
523.972314,-245.13533829016242,60203
523.95983,-245.59006181986516,60149
523.947346,-246.04480701879896,60199
523.934862,-246.4995738885186,60258
523.922378,-246.95436243056577,60198
523.909894,-247.40917264649312,60214
523.89741,-247.8640045378488,60136
523.884926,-248.31885810618982,60082
523.872442,-248.7737333530535,60253
523.859958,-249.22863027999898,60245
523.847474,-249.68354888857013,60171
523.83499,-250.13848918032602,60209
523.822506,-250.59345115680628,60195
523.810022,-251.04843481956775,60193
523.797538,-251.5034401701587,60242
523.785054,-251.9584672101339,60137
523.77257,-252.41351594103722,60209
523.760086,-252.86858636442344,60178
523.747602,-253.3236784818451,60184
523.735118,-253.77879229485046,60254
523.722634,-254.23392780499861,60129
523.71015,-254.6890850138291,60212
523.697666,-255.14426392290102,60270
523.685182,-255.59946453376477,60220
523.672698,-256.0546868479773,60280
523.660214,-256.50993086708246,60140
523.64773,-256.96519659263504,60210
523.635246,-257.42048402618974,60221
523.622762,-257.8757931693035,60188
523.610278,-258.3311240235181,60230
523.597794,-258.7864765903947,60275
523.58531,-259.2418508714817,60329
523.572826,-259.6972468683423,60135
523.560342,-260.15266458251625,60163
523.547858,-260.6081040155625,60214
523.535374,-261.0635651690359,60223
523.52289,-261.51904804449543,60162
523.510406,-261.97455264348514,60119
523.497922,-262.43007896756177,60192
523.485438,-262.88562701828454,60241
523.472954,-263.34119679720595,60242
523.46047,-263.7967883058765,60201
523.447986,-264.25240154585515,60266
523.435502,-264.70803651869454,60302
523.423018,-265.16369322595375,60205
523.410534,-265.619371669181,60256
523.39805,-266.0750718499376,60206
523.385566,-266.53079376977394,60221
523.373082,-266.98653743025557,60193
523.360598,-267.4423028329264,60325
523.348114,-267.8980899793455,60248
523.33563,-268.35389887107203,60198
523.323146,-268.809729509665,60238
523.310662,-269.26558189667264,60284
523.298178,-269.7214560336541,60276
523.285694,-270.1773519221706,60270
523.27321,-270.6332695637768,60237
523.260726,-271.0892089600255,60233
523.248242,-271.5451701124777,60298
523.235758,-272.0011530226883,60340
523.223274,-272.45715769222284,60294
523.21079,-272.91318412262734,60271
523.198306,-273.3692323154632,60219
523.185822,-273.8253022722893,60319
523.173338,-274.28139399466926,60232
523.160854,-274.73750748415335,60317
523.14837,-275.19364274230077,60413
523.135886,-275.6497997706705,60425
523.123402,-276.10597857082377,60429
523.110918,-276.56217914432193,60367
523.098434,-277.0184014927153,60385
523.08595,-277.47464561756743,60395
523.073466,-277.9309115204373,60421
523.060982,-278.38719920288827,60398
523.048498,-278.84350866647304,60358
523.036014,-279.2998399127528,60385
523.02353,-279.75619294328885,60434
523.011046,-280.21256775964673,60408
522.998562,-280.6689643633747,60418
522.986078,-281.12538275604055,60442
522.973594,-281.5818229392033,60477
522.96111,-282.03828491442636,60468
522.948626,-282.4947686832645,60437
522.936142,-282.951274247279,60507
522.923658,-283.4078016080354,60481
522.911174,-283.8643507670972,60509
522.89869,-284.32092172601693,60453
522.886206,-284.77751448636013,60471
522.873722,-285.23412904968814,60501
522.861238,-285.69076541756647,60510
522.848754,-286.1474235915499,60702
522.83627,-286.6041035732062,60525
522.823786,-287.0608053640923,60525
522.811302,-287.5175289657802,60459
522.798818,-287.9742743798204,60522
522.786334,-288.4310416077828,60583
522.77385,-288.8878306512286,60509
522.761366,-289.34464151172347,60464
522.748882,-289.80147419082215,60481
522.736398,-290.2583286900945,60578
522.723914,-290.715205011104,60512
522.71143,-291.17210315541405,60502
522.698946,-291.62902312458584,60604
522.686462,-292.0859649201829,60585
522.673978,-292.54292854377076,60554
522.661494,-292.99991399691714,60525
522.64901,-293.45692128117906,60523
522.636526,-293.91395039812414,60414
522.624042,-294.3710013493181,60567
522.611558,-294.8280741363286,60540
522.599074,-295.2851687607126,60580
522.58659,-295.74228522404,60532
522.574106,-296.1994235278743,60559
522.5616219999999,-296.65658367378524,60513
522.549138,-297.1137656633321,60599
522.536654,-297.57096949808255,60533
522.52417,-298.02819517960216,60539
522.511686,-298.48544270945877,60613
522.499202,-298.9427120892222,60534
522.486718,-299.40000332044724,60472
522.474234,-299.8573164047082,60460
522.46175,-300.3146513435705,60518
522.449266,-300.7720081386043,60513
522.436782,-301.22938679136854,60486
522.424298,-301.68678730343316,60532
522.411814,-302.1442096763681,60483
522.39933,-302.60165391174115,60569
522.386846,-303.0591200111157,60479
522.374362,-303.51660797605945,60533
522.361878,-303.97411780814025,60548
522.349394,-304.43164950893447,60539
522.33691,-304.88920307999683,60479
522.324426,-305.34677852290173,60504
522.311942,-305.80437583921673,60475
522.299458,-306.2619950305163,60477
522.286974,-306.71963609835933,60445
522.27449,-307.1772990443202,60341
522.262006,-307.63498386996446,60467
522.249522,-308.0926905768685,60465
522.237038,-308.5504191665915,60481
522.224554,-309.00816964070987,60426
522.21207,-309.4659420007891,60474
522.199586,-309.92373624840354,60471
522.187102,-310.3815523851166,60572
522.174618,-310.8393904125025,60411
522.162134,-311.2972503321312,60505
522.14965,-311.7551321455748,60413
522.137166,-312.21303585439887,60366
522.124682,-312.6709614601733,60417
522.112198,-313.12890896447465,60499
522.099714,-313.58687836887265,60319
522.08723,-314.0448696749352,60424
522.074746,-314.50288288423224,60426
522.062262,-314.9609179983401,60469
522.049778,-315.41897501882875,60421
522.037294,-315.8770539472681,60431
522.02481,-316.3351547852281,60324
522.012326,-316.79327753428515,60470
521.999842,-317.2514221960114,60455
521.987358,-317.70958877197455,60408
521.974874,-318.16777726374886,60369
521.96239,-318.62598767290865,60387
521.949906,-319.08422000102377,60379
521.937422,-319.54247424967286,60457
521.924938,-320.00075042041937,60455
521.912454,-320.45904851484397,60408
521.89997,-320.9173685345167,60396
521.887486,-321.3757104810161,60455
521.875002,-321.8340743559077,60423
521.862518,-322.2924601607681,60419
521.850034,-322.7508678971735,60321
521.83755,-323.20929756669835,60423
521.825066,-323.6677491709125,60552
521.812582,-324.1262227113924,60360
521.800098,-324.58471818971447,60530
521.787614,-325.04323560745513,60402
521.77513,-325.50177496617994,60490
521.762646,-325.96033626746976,60395
521.750162,-326.4189195129009,60416
521.737678,-326.87752470405206,60403
521.725194,-327.33615184248663,60316
521.71271,-327.7948009297897,60411
521.700226,-328.25347196753336,60461
521.687742,-328.7121649573005,60442
521.675258,-329.17087990065465,60431
521.662774,-329.6296167991787,60453
521.65029,-330.0883756544512,60294
521.637806,-330.5471564680486,60481
521.625322,-331.0059592415409,60478
521.612838,-331.4647839765066,60369
521.600354,-331.9236306745287,60422
521.58787,-332.3824993371814,60494
521.575386,-332.841389966039,60414
521.562902,-333.30030256268014,60444
521.550418,-333.75923712868115,60391
521.537934,-334.2181936656272,60378
521.52545,-334.67717217508607,60450
521.512966,-335.13617265863843,60410
521.500482,-335.59519511786516,60374
521.487998,-336.05423955434696,60323
521.475514,-336.5133059696538,60406
521.46303,-336.9723943653707,60459
521.450546,-337.431504743072,60531
521.438062,-337.89063710434493,60413
521.425578,-338.3497914507573,60369
521.413094,-338.80896778389416,60384
521.40061,-339.2681661053341,60403
521.388126,-339.72738641665796,60333
521.375642,-340.18662871944645,60381
521.363158,-340.6458930152738,60405
521.350674,-341.10517930572087,60353
521.33819,-341.56448759237264,60361
521.325706,-342.0238178768078,60369
521.313222,-342.48317016060497,60411
521.300738,-342.9425444453427,60355
521.288254,-343.4019407326039,60407
521.27577,-343.86135902397376,60391
521.263286,-344.3207993210264,60300
521.250802,-344.7802616253449,60298
521.238318,-345.23974593850994,60381
521.225834,-345.69925226211103,60363
521.21335,-346.15878059771586,60319
521.200866,-346.6183309469139,60419
521.188382,-347.0779033112881,60409
521.175898,-347.5374976924213,60353
521.163414,-347.99711409189007,60381
521.15093,-348.4567525112773,60321
521.138446,-348.91641295217016,60460
521.125962,-349.37609541615393,60422
521.113478,-349.8357999048005,60338
521.100994,-350.2955264196995,60317
521.08851,-350.7552749624338,60414
521.076026,-351.21504553458846,60371
521.063542,-351.6748381377421,60515
521.051058,-352.13465277347984,60337
521.038574,-352.59448944338675,60297
521.02609,-353.05434814905016,60319
521.013606,-353.51422889204645,60367
521.001122,-353.9741316739629,60362
520.988638,-354.43405649638464,60245
520.976154,-354.8940033608989,60386
520.96367,-355.35397226908435,60360
520.951186,-355.8139632225282,60439
520.938702,-356.2739762228155,60354
520.926218,-356.73401127153585,60391
520.913734,-357.19406837026554,60340
520.90125,-357.65414752059405,60404
520.888766,-358.1142487241087,60397
520.876282,-358.5743719823988,60394
520.863798,-359.0345172970388,60297
520.851314,-359.49468466962236,60346
520.83883,-359.95487410173456,60298
520.826346,-360.4150855949649,60347
520.813862,-360.875319150892,60434
520.801378,-361.3355747711074,60287
520.788894,-361.79585245719625,60279
520.77641,-362.25615221074577,60400
520.763926,-362.7164740333498,60446
520.751442,-363.17681792658476,60367
520.738958,-363.63718389204223,60355
520.726474,-364.09757193130946,60287
520.71399,-364.5579820459781,60355
520.701506,-365.01841423763113,60342
520.689022,-365.47886850785574,60264
520.676538,-365.93934485824354,60253
520.664054,-366.399843290384,60375
520.65157,-366.8603638058601,60342
520.639086,-367.32090640626336,60369
520.626602,-367.78147109318115,60270
520.614118,-368.24205786820716,60392
520.601634,-368.70266673292434,60327
520.58915,-369.16329768892433,60334
520.576666,-369.6239507377966,60362
520.564182,-370.08462588113264,60372
520.551698,-370.54532312051765,60333
520.539214,-371.00604245754323,60390
520.52673,-371.46678389379883,60425
520.514246,-371.92754743088034,60324
520.501762,-372.38833307036856,60318
520.489278,-372.84914081385944,60410
520.476794,-373.3099706629424,60406
520.46431,-373.7708226192113,60301
520.451826,-374.23169668424896,60333
520.439342,-374.69259285965353,60344
520.426858,-375.15351114701235,60298
520.414374,-375.6144515479234,60303
520.40189,-376.07541406396757,60362
520.389406,-376.53639869674294,60307
520.376922,-376.9974054478411,60330
520.364438,-377.45843431885584,60224
520.351954,-377.91948531137444,60348
520.33947,-378.38055842698844,60297
520.326986,-378.84165366729604,60335
520.314502,-379.30277103388886,60297
520.302018,-379.7639105283541,60326
520.289534,-380.22507215228774,60425
520.27705,-380.68625590728135,60289
520.264566,-381.1474617949353,60400
520.252082,-381.6086898168324,60316
520.239598,-382.06993997457306,60363
520.227114,-382.5312122697467,60344
520.21463,-382.9925067039492,60259
520.202146,-383.45382327877866,60339
520.189662,-383.9151619958224,60312
520.177178,-384.3765228566743,60368
520.164694,-384.83790586293225,60331
520.15221,-385.2993110161967,60221
520.139726,-385.76073831804837,60382
520.127242,-386.22218777009186,60283
520.114758,-386.68365937391667,60294
520.102274,-387.14515313112736,60324
520.08979,-387.60666904330685,60310
520.077306,-388.0682071120576,60349
520.064822,-388.52976733897566,60291
520.052338,-388.99134972565685,60332
520.039854,-389.4529542736928,60333
520.02737,-389.9145809846795,60304
520.014886,-390.3762298602194,60262
520.002402,-390.83790090190627,60238
519.989918,-391.2995941113338,60190
519.977434,-391.7613094900981,60252
519.96495,-392.22304703979927,60347
519.952466,-392.68480676203774,60242
519.939982,-393.1465886584029,60395
519.927498,-393.608392730495,60338
519.915014,-394.07021897991,60362
519.90253,-394.53206740825254,60308
519.890046,-394.99393801711204,60276
519.877562,-395.4558308080888,60297
519.865078,-395.91774578278097,60308
519.852594,-396.37968294279096,60373
519.84011,-396.84164228971036,60348
519.827626,-397.3036238251394,60318
519.815142,-397.7656275506785,60371
519.802658,-398.22765346793005,60309
519.790174,-398.68970157848565,60204
519.77769,-399.15177188394773,60282
519.765206,-399.61386438591444,60231
519.752722,-400.07597908599257,60298
519.740238,-400.53811598576937,60233
519.727754,-401.0002750868516,60327
519.71527,-401.4624563908375,60263
519.702786,-401.92465989933146,60236
519.690302,-402.38688561392746,60280
519.677818,-402.8491335362279,60256
519.665334,-403.3114036678331,60259
519.65285,-403.7736960103475,60365
519.640366,-404.2360105653672,60383
519.627882,-404.69834733449255,60425
519.615398,-405.160706319328,60289
519.602914,-405.6230875214739,60286
519.59043,-406.08549094253493,60268
519.577946,-406.54791658410477,60369
519.565462,-407.01036444779027,60300
519.552978,-407.47283453519384,60297
519.540494,-407.93532684791796,60387
519.52801,-408.3978413875608,60282
519.515526,-408.86037815572683,60298
519.503042,-409.3229371540164,60248
519.490558,-409.78551838404076,60228
519.478074,-410.2481218473935,60307
519.46559,-410.7107475456772,60336
519.453106,-411.1733954805007,60303
519.440622,-411.63606565346873,60377
519.428138,-412.0987580661772,60331
519.415654,-412.5614727202328,60361
519.40317,-413.02420961724033,60250
519.390686,-413.4869687588065,60356
519.378202,-413.9497501465272,60277
