Wavelength(nm), Raman shift(cm^-1), Intensity(arb) 
539.370522,299.711749984161,614
539.358038,299.28261946980194,608
539.345554,298.85346908964556,619
539.33307,298.4242988423105,617
539.320586,297.99510872641775,616
539.308102,297.5658987405816,618
539.295618,297.1366688834295,612
539.283134,296.7074191535823,611
539.27065,296.2781495496544,616
539.258166,295.8488600702646,612
539.245682,295.41955071403805,630
539.233198,294.9902214795935,609
539.220714,294.56087236554754,627
539.20823,294.1315033705167,617
539.195746,293.7021144931262,617
539.183262,293.2727057319948,605
539.170778,292.843277085739,621
539.158294,292.41382855297326,619
539.14581,291.98436013232276,606
539.133326,291.5548718224062,622
539.120842,291.12536362183806,620
539.108358,290.6958355292327,619
539.095874,290.2662875432197,614
539.08339,289.836719662409,608
539.070906,289.4071318854216,613
539.058422,288.97752421086756,631
539.045938,288.5478966373764,615
539.033454,288.11824916355823,609
539.02097,287.68858178803174,621
539.008486,287.2588945094113,613
538.996002,286.82918732632,611
538.983518,286.39946023737,607
538.971034,285.9697132411823,608
538.95855,285.5399463363648,610
538.946066,285.11015952154474,610
538.933582,284.68035279533444,618
538.921098,284.2505261563483,614
538.908614,283.8206796032007,620
538.89613,283.3908131345147,620
538.883646,282.9609267489025,614
538.871162,282.53102044497854,608
538.858678,282.10109422135935,610
538.846194,281.6711480766571,616
538.83371,281.24118200949493,610
538.821226,280.81119601848286,606
538.808742,280.38119010223744,604
538.796258,279.95116425936874,615
538.783774,279.52111848849984,608
538.77129,279.09105278824296,617
538.758806,278.6609671572102,606
538.746322,278.23086159401396,618
538.733838,277.8007360972751,610
538.721354,277.3705906656035,599
538.70887,276.94042529761595,618
538.696386,276.51023999192023,621
538.683902,276.0800347471372,611
538.671418,275.6498095618791,620
538.658934,275.2195644347582,610
538.64645,274.7892993643867,607
538.633966,274.35901434938114,609
538.621482,273.92870938835154,618
538.608998,273.49838447991453,606
538.596514,273.068039622678,607
538.58403,272.63767481525844,617
538.571546,272.20729005627027,600
538.559062,271.77688534432133,612
538.546578,271.34646067802396,604
538.534094,270.91601605599675,617
538.52161,270.4855514768477,615
538.509126,270.055066939189,599
538.496642,269.6245624416284,614
538.484158,269.19403798278483,617
538.471674,268.7634935612682,613
538.45919,268.3329291756865,608
538.446706,267.9023448246519,600
538.434222,267.47174050677876,608
538.421738,267.0411162206793,602
538.409254,266.61047196495934,603
538.39677,266.1798077382288,609
538.384286,265.7491235391065,613
538.371802,265.3184193661981,612
538.359318,264.88769521811366,599
538.346834,264.4569510934611,609
538.33435,264.02618699085696,609
538.321866,263.5954029089091,602
538.309382,263.16459884622543,621
538.296898,262.7337748014181,609
538.284414,262.30293077309085,601
538.27193,261.8720667598622,604
538.259446,261.44118276033794,606
538.246962,261.010278773126,600
538.234478,260.57935479683204,598
538.221994,260.1484108300748,598
538.20951,259.7174468714578,601
538.197026,259.286462919589,600
538.184542,258.85545897307406,599
538.172058,258.4244350305317,611
538.159574,257.9933910905612,603
538.14709,257.56232715177686,602
538.134606,257.1312432127779,606
538.122122,256.7001392721831,601
538.109638,256.2690153285938,604
538.097154,255.83787138062226,599
538.08467,255.40670742686765,615
538.072186,254.97552346594654,604
538.059702,254.54431949646465,603
538.047218,254.11309551702553,600
538.034734,253.68185152623707,607
538.02225,253.2505875227093,603
538.009766,252.81930350504797,608
537.997282,252.38799947186092,616
537.984798,251.9566754217474,604
537.972314,251.52533135332396,604
537.95983,251.09396726519196,599
537.947346,250.6625831559593,602
537.934862,250.23117902422518,611
537.922378,249.79975486860837,599
537.909894,249.36831068770584,607
537.89741,248.93684648012336,596
537.884926,248.50536224446662,609
537.872442,248.07385797934785,600
537.859958,247.64233368336411,602
537.847474,247.2107893551254,602
537.83499,246.779224993231,611
537.822506,246.34764059629526,597
537.810022,245.91603616291522,598
537.797538,245.48441169170093,610
537.785054,245.0527671812473,597
537.77257,244.62110263017084,602
537.760086,244.1894180370708,602
537.747602,243.75771340054854,603
537.735118,243.3259887192141,594
537.722634,242.89424399166023,597
537.71015,242.4624792165056,603
537.697666,242.0306943923451,599
537.685182,241.59888951778234,604
537.672698,241.1670645914186,594
537.660214,240.7352196118662,603
537.64773,240.30335457771992,602
537.635246,239.87146948758772,600
537.622762,239.43956434006657,604
537.610278,239.00763913376443,606
537.597794,238.57569386728264,607
537.58531,238.14372853922472,608
537.572826,237.7117431481856,599
537.560342,237.27973769277966,603
537.547858,236.84771217160173,604
537.535374,236.41566658325323,606
537.52289,235.98360092633555,603
537.510406,235.55151519945653,609
537.497922,235.11940940121323,608
537.485438,234.68728353020705,601
537.472954,234.255137585035,595
537.46047,233.82297156430715,606
537.447986,233.39078546662054,605
537.435502,232.9585792905744,607
537.423018,232.5263530347679,600
537.410534,232.09410669780897,606
537.39805,231.66184027829462,602
537.385566,231.22955377482407,603
537.373082,230.7972471859922,596
537.360598,230.36492051041122,605
537.348114,229.93257374667382,602
537.33563,229.50020689338143,602
537.323146,229.0678199491289,606
537.310662,228.63541291252193,602
537.298178,228.2029857821619,605
537.285694,227.77053855664153,595
537.27321,227.33807123456003,608
537.260726,226.9055838145231,602
537.248242,226.4730762951278,606
537.235758,226.04054867496902,602
537.223274,225.6080009526459,605
537.21079,225.1754331267599,606
537.198306,224.7428451959102,606
537.185822,224.31023715869168,602
537.173338,223.87760901370137,599
537.160854,223.444960759545,601
537.14837,223.01229239481307,601
537.135886,222.579603918107,608
537.123402,222.14689532802169,600
537.110918,221.7141666231541,599
537.098434,221.28141780210782,601
537.08595,220.84864886347341,605
537.073466,220.41585980585222,610
537.060982,219.98305062783697,594
537.048498,219.55022132802904,602
537.036014,219.11737190502328,596
537.02353,218.68450235741676,610
537.011046,218.25161268380216,605
