Wavelength(nm), Raman shift(cm^-1), Intensity(arb) 
539.370522,299.711749984161,606
539.358038,299.28261946980194,598
539.345554,298.85346908964556,608
539.33307,298.4242988423105,613
539.320586,297.99510872641775,619
539.308102,297.5658987405816,606
539.295618,297.1366688834295,614
539.283134,296.7074191535823,602
539.27065,296.2781495496544,603
539.258166,295.8488600702646,614
539.245682,295.41955071403805,595
539.233198,294.9902214795935,599
539.220714,294.56087236554754,598
539.20823,294.1315033705167,610
539.195746,293.7021144931262,607
539.183262,293.2727057319948,596
539.170778,292.843277085739,607
539.158294,292.41382855297326,602
539.14581,291.98436013232276,609
539.133326,291.5548718224062,604
539.120842,291.12536362183806,604
539.108358,290.6958355292327,603
539.095874,290.2662875432197,606
539.08339,289.836719662409,599
539.070906,289.4071318854216,603
539.058422,288.97752421086756,602
539.045938,288.5478966373764,612
539.033454,288.11824916355823,602
539.02097,287.68858178803174,601
539.008486,287.2588945094113,601
538.996002,286.82918732632,598
538.983518,286.39946023737,598
538.971034,285.9697132411823,607
538.95855,285.5399463363648,603
538.946066,285.11015952154474,598
538.933582,284.68035279533444,611
538.921098,284.2505261563483,594
538.908614,283.8206796032007,596
538.89613,283.3908131345147,613
538.883646,282.9609267489025,606
538.871162,282.53102044497854,612
538.858678,282.10109422135935,605
538.846194,281.6711480766571,600
538.83371,281.24118200949493,600
538.821226,280.81119601848286,598
538.808742,280.38119010223744,595
538.796258,279.95116425936874,595
538.783774,279.52111848849984,601
538.77129,279.09105278824296,604
538.758806,278.6609671572102,600
538.746322,278.23086159401396,602
538.733838,277.8007360972751,597
538.721354,277.3705906656035,594
538.70887,276.94042529761595,603
538.696386,276.51023999192023,604
538.683902,276.0800347471372,599
538.671418,275.6498095618791,604
538.658934,275.2195644347582,598
538.64645,274.7892993643867,596
538.633966,274.35901434938114,596
538.621482,273.92870938835154,600
538.608998,273.49838447991453,605
538.596514,273.068039622678,595
538.58403,272.63767481525844,596
538.571546,272.20729005627027,601
538.559062,271.77688534432133,598
538.546578,271.34646067802396,608
538.534094,270.91601605599675,599
538.52161,270.4855514768477,601
538.509126,270.055066939189,593
538.496642,269.6245624416284,596
538.484158,269.19403798278483,601
538.471674,268.7634935612682,604
538.45919,268.3329291756865,598
538.446706,267.9023448246519,596
538.434222,267.47174050677876,595
538.421738,267.0411162206793,605
538.409254,266.61047196495934,612
538.39677,266.1798077382288,606
538.384286,265.7491235391065,603
538.371802,265.3184193661981,599
538.359318,264.88769521811366,593
538.346834,264.4569510934611,594
538.33435,264.02618699085696,607
538.321866,263.5954029089091,601
538.309382,263.16459884622543,597
538.296898,262.7337748014181,596
538.284414,262.30293077309085,602
538.27193,261.8720667598622,601
538.259446,261.44118276033794,597
538.246962,261.010278773126,602
538.234478,260.57935479683204,599
538.221994,260.1484108300748,601
538.20951,259.7174468714578,595
538.197026,259.286462919589,604
538.184542,258.85545897307406,600
538.172058,258.4244350305317,602
538.159574,257.9933910905612,601
538.14709,257.56232715177686,610
538.134606,257.1312432127779,602
538.122122,256.7001392721831,605
538.109638,256.2690153285938,600
538.097154,255.83787138062226,599
538.08467,255.40670742686765,600
538.072186,254.97552346594654,606
538.059702,254.54431949646465,602
538.047218,254.11309551702553,601
538.034734,253.68185152623707,603
538.02225,253.2505875227093,605
538.009766,252.81930350504797,599
537.997282,252.38799947186092,603
537.984798,251.9566754217474,605
537.972314,251.52533135332396,598
537.95983,251.09396726519196,604
537.947346,250.6625831559593,598
537.934862,250.23117902422518,601
537.922378,249.79975486860837,598
537.909894,249.36831068770584,603
537.89741,248.93684648012336,604
537.884926,248.50536224446662,606
537.872442,248.07385797934785,608
537.859958,247.64233368336411,610
537.847474,247.2107893551254,600
537.83499,246.779224993231,608
537.822506,246.34764059629526,600
537.810022,245.91603616291522,603
537.797538,245.48441169170093,600
537.785054,245.0527671812473,602
537.77257,244.62110263017084,607
537.760086,244.1894180370708,601
537.747602,243.75771340054854,593
537.735118,243.3259887192141,598
537.722634,242.89424399166023,599
537.71015,242.4624792165056,602
537.697666,242.0306943923451,602
537.685182,241.59888951778234,606
537.672698,241.1670645914186,604
537.660214,240.7352196118662,591
537.64773,240.30335457771992,598
537.635246,239.87146948758772,597
537.622762,239.43956434006657,599
537.610278,239.00763913376443,603
537.597794,238.57569386728264,591
537.58531,238.14372853922472,602
537.572826,237.7117431481856,598
537.560342,237.27973769277966,604
537.547858,236.84771217160173,601
537.535374,236.41566658325323,602
537.52289,235.98360092633555,600
537.510406,235.55151519945653,592
537.497922,235.11940940121323,604
537.485438,234.68728353020705,601
537.472954,234.255137585035,604
537.46047,233.82297156430715,606
537.447986,233.39078546662054,602
537.435502,232.9585792905744,603
537.423018,232.5263530347679,601
537.410534,232.09410669780897,602
537.39805,231.66184027829462,600
537.385566,231.22955377482407,603
537.373082,230.7972471859922,598
537.360598,230.36492051041122,600
537.348114,229.93257374667382,609
537.33563,229.50020689338143,603
537.323146,229.0678199491289,594
537.310662,228.63541291252193,602
537.298178,228.2029857821619,614
537.285694,227.77053855664153,598
537.27321,227.33807123456003,600
537.260726,226.9055838145231,605
537.248242,226.4730762951278,593
537.235758,226.04054867496902,604
537.223274,225.6080009526459,596
537.21079,225.1754331267599,609
537.198306,224.7428451959102,611
537.185822,224.31023715869168,604
537.173338,223.87760901370137,597
537.160854,223.444960759545,605
537.14837,223.01229239481307,604
537.135886,222.579603918107,602
537.123402,222.14689532802169,598
