Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
655.1200395,-359.9157286641227,60007
655.1094205,-360.16315669100277,60026
655.0988015,-360.4105927393873,60203
655.0881825,-360.6580368096645,60272
655.0775635,-360.90548890222243,60237
655.0669445,-361.15294901745574,60253
655.0563255,-361.40041715575046,60307
655.0457065,-361.6478933174947,60294
655.0350875,-361.89537750308534,60277
655.0244685,-362.14286971290824,60260
655.0138495,-362.3903699473559,60158
655.0032305,-362.6378782068166,60244
654.9926115,-362.8853944916805,60291
654.9819925,-363.132918802338,60235
654.9713735,-363.3804511391815,60263
654.9607545,-363.62799150260145,60204
654.9501355,-363.875539892988,60204
654.9395165,-364.1230963107294,60234
654.9288975,-364.37066075621595,60209
654.9182785,-364.6182332298379,60152
654.9076595,-364.8658137319922,60194
654.8970405,-365.11340226306254,60217
654.8864215,-365.3609988234414,60225
654.8758025,-365.6086034135191,60253
654.8651835,-365.8562160336882,60253
654.8545645,-366.1038366843347,60255
654.8439455,-366.35146536585523,60265
654.8333265,-366.5991020786359,60274
654.8227075,-366.8467468230714,60194
654.8120885,-367.0943995995497,60190
654.8014695,-367.34206040845913,60218
654.7908505,-367.58972925019646,60298
654.7802315,-367.8374061251476,60229
654.7696125,-368.0850910337073,60194
654.7589935,-368.3327839762657,60193
654.7483745,-368.58048495320895,60186
654.7377555,-368.82819396493164,60162
654.7271365,-369.0759110118263,60217
654.7165175,-369.32363609428313,60189
654.7058985,-369.57136921269034,60253
654.6952795,-369.81911036744043,60258
654.6846605,-370.066859558928,60260
654.6740415,-370.31461678753476,60203
654.6634225,-370.5623820536618,60202
654.6528035,-370.8101553576973,60250
654.6421845,-371.0579367000315,60209
654.6315655,-371.30572608105484,60226
654.6209465,-371.5535235011597,60170
654.6103275,-371.8013289607342,60187
654.5997085,-372.0491424601732,60118
654.5890895,-372.2969639998689,60185
654.5784705,-372.5447935802096,60158
654.5678515,-372.79263120159,60156
654.5572325,-373.0404768643937,60183
654.5466135,-373.2883305690221,60182
654.5359945,-373.53619231586316,60236
654.5253755,-373.7840621053051,60174
654.5147565,-374.0319399377426,60170
654.5041375,-374.2798258135659,60250
654.4935185,-374.52771973316317,60172
654.4828995,-374.77562169693346,60224
654.4722805,-375.02353170526266,60264
654.4616615,-375.27144975854543,60237
654.4510425,-375.5193758571721,60149
654.4404235,-375.7673100015331,60215
654.4298045,-376.0152521920185,60213
654.4191855,-376.2632024290275,60208
654.4085665,-376.51116071294376,60247
654.3979475,-376.7591270441642,60151
654.3873285,-377.00710142307906,60225
654.3767095,-377.25508385007873,60135
654.3660905,-377.5030743255535,60285
654.3554715,-377.75107284990014,60221
654.3448525,-377.99907942350677,60242
654.3342335,-378.24709404676815,60162
654.3236145,-378.4951167200745,60192
654.3129954999999,-378.7431474438162,60220
654.3023765,-378.99118621838574,60221
654.2917575,-379.23923304417985,60147
654.2811385,-379.48728792158454,60179
654.2705195,-379.73535085099667,60141
654.2599005,-379.9834218328043,60238
654.2492815,-380.23150086739787,60224
654.2386625,-380.47958795517627,60137
654.2280435,-380.72768309652764,60143
654.2174245,-380.97578629184454,60294
654.2068055,-381.22389754151936,60154
