Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
524.1200395,-239.7561547424782,59753
524.1094205,-240.1427271836085,59809
524.0988015,-240.52931528977535,59967
524.0881825,-240.91591906192852,60059
524.0775635,-241.3025385010199,60016
524.0669445,-241.68917360800364,60130
524.0563255,-242.07582438382727,60149
524.0457065,-242.46249082944493,60036
524.0350875,-242.84917294581507,60074
524.0244685,-243.23587073388524,60024
524.0138495,-243.62258419460954,59957
524.0032305,-244.0093133289421,60014
523.9926115,-244.39605813783268,59994
523.9819925,-244.78281862223102,59943
523.9713735,-245.16959478309988,60018
523.9607545,-245.55638662138688,60046
523.9501355,-245.94319413804612,60015
523.9395165,-246.33001733402952,59941
523.9288975,-246.71685621029332,60058
523.9182785,-247.10371076778299,60029
523.9076595,-247.49058100746345,60000
523.8970405,-247.87746693028228,60012
523.8864215,-248.2643685371936,60080
523.8758025,-248.65128582915148,60013
523.8651835,-249.03821880711223,59953
523.8545645,-249.42516747202123,60053
523.8439455,-249.81213182484126,59997
523.8333265,-250.19911186652428,59975
523.8227075,-250.58610759802437,60098
523.8120885,-250.9731190202956,60060
523.8014695,-251.3601461342878,60072
523.7908505,-251.74718894096148,60012
523.7802315,-252.13424744127082,59993
523.7696125,-252.5213216361677,60033
523.7589935,-252.9084115266084,60032
523.7483745,-253.29551711354486,59999
523.7377555,-253.68263839793119,59991
523.7271365,-254.06977538072795,59969
523.7165175,-254.45692806288707,59971
523.7058985,-254.8440964453627,59933
523.6952795,-255.23128052911107,59985
523.6846605,-255.61848031508632,60004
523.6740415,-256.0056958042403,59955
523.6634225,-256.392926997538,59962
523.6528035,-256.780173895927,60052
523.6421845,-257.16743650036364,60114
523.6315655,-257.5547148118062,59987
523.6209465,-257.94200883120675,60033
523.6103275,-258.3293185595215,59991
523.5997085,-258.7166439977089,60046
523.5890895,-259.10398514672517,59990
523.5784705,-259.49134200752445,60034
523.5678515,-259.8787145810608,60010
523.5572325,-260.2661028682906,59997
523.5466135,-260.65350687017434,59972
523.5359945,-261.0409265876661,59953
523.5253755,-261.4283620217201,59968
523.5147565,-261.8158131732968,59923
523.5041375,-262.20328004334823,59929
523.4935185,-262.5907626328306,60015
523.4828995,-262.9782609427046,59986
523.4722805,-263.36577497392636,60030
523.4616615,-263.7533047274523,59983
523.4510425,-264.1408502042364,59998
523.4404235,-264.5284114052393,60015
523.4298045,-264.91598833141074,59983
523.4191855,-265.3035809837179,59937
523.4085665,-265.69118936311264,60024
523.3979475,-266.07881347055337,59973
523.3873285,-266.46645330699863,60022
523.3767095,-266.8541088734024,60046
523.3660905,-267.2417801707211,59998
523.3554715,-267.6294671999173,60014
523.3448525,-268.01716996194745,60014
523.3342335,-268.4048884577699,59973
523.3236145,-268.7926226883387,59985
523.3129954999999,-269.1803726546146,59983
523.3023765,-269.56813835754934,60070
523.2917575,-269.95591979811235,59956
523.2811385,-270.34371697725334,60015
523.2705195,-270.731529895935,60016
523.2599005,-271.1193585551116,60003
523.2492815,-271.50720295574143,59925
523.2386625,-271.8950630987873,59975
523.2280435,-272.28293898520553,60080
523.2174245,-272.6708306159545,59987
523.2068055,-273.05873799199264,60024
523.1961865,-273.44666111427847,59966
523.1855675,-273.83459998376594,60054
523.1749485,-274.2225546014244,59981
523.1643295,-274.61052496820804,60091
523.1537105,-274.99851108507295,59984
523.1430915,-275.38651295298206,60009
523.1324725,-275.7745305728937,60011
523.1218535,-276.1625639457598,60017
523.1112345,-276.5506130725519,59996
523.1006155,-276.93867795422403,59961
523.0899965,-277.3267585917368,59918
523.0793775,-277.7148549860465,59930
523.0687585,-278.1029671381158,59962
523.0581395,-278.49109504889896,60019
