Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
702.1200395,661.8835812830176,176516
702.1094205,661.6681704937357,176496
702.0988015,661.4527531884247,177044
702.0881825,661.2373293667898,176682
702.0775635,661.0218990285404,177031
702.0669445,660.8064621733749,176147
702.0563255,660.591018801001,176543
702.0457065,660.3755689111256,176761
702.0350875,660.1601125034452,176061
702.0244685,659.9446495776695,176693
702.0138495,659.7291801335009,176929
702.0032305,659.513704170645,176470
701.9926115,659.2982216888066,176126
701.9819925,659.0827326876888,176476
701.9713735,658.8672371669944,175896
701.9607545,658.6517351264264,176998
701.9501355,658.4362265656921,176515
701.9395165,658.2207114844965,177374
701.9288975,658.0051898825404,176396
701.9182785,657.7896617595311,176959
701.9076595,657.5741271151693,176409
701.8970405,657.3585859491579,176448
701.8864215,657.1430382612065,176051
701.8758025,656.9274840510135,176244
701.8651835,656.7119233182885,176531
701.8545645,656.4963560627322,177084
701.8439455,656.2807822840474,177518
701.8333265,656.0652019819372,177424
701.8227075,655.849615156111,176808
701.8120885,655.6340218062672,176610
701.8014695,655.4184219321135,177120
701.7908505,655.2028155333502,177048
701.7802315,654.9872026096826,176850
701.7696125,654.7715831608158,176994
701.7589935,654.5559571864505,176214
701.7483745,654.3403246862941,176660
701.7377555,654.1246856600494,177662
701.7271365,653.9090401074194,176292
701.7165175,653.6933880281069,176278
701.7058985,653.4777294218151,176391
701.6952795,653.2620642882508,177293
701.6846605,653.0463926271153,177443
701.6740415,652.8307144381155,176649
701.6634225,652.6150297209501,176956
701.6528035,652.3993384753243,176598
701.6421845,652.1836407009451,177209
701.6315655,651.9679363975115,177240
701.6209465,651.7522255647282,177949
701.6103275,651.5365082023026,177367
701.5997085,651.3207843099311,177574
701.5890895,651.1050538873234,176682
701.5784705,650.8893169341799,177088
701.5678515,650.6735734502058,177490
701.5572325,650.4578234351062,176866
701.5466135,650.2420668885777,176650
701.5359945,650.0263038103295,176646
701.5253755,649.8105342000624,177211
701.5147565,649.5947580574817,176692
701.5041375,649.37897538229,177544
701.4935185,649.1631861741927,175993
701.4828995,648.9473904328883,176661
701.4722805,648.7315881580818,177851
701.4616615,648.5157793494783,177249
701.4510425,648.2999640067808,176874
701.4404235,648.0841421296923,176755
701.4298045,647.8683137179178,177048
701.4191855,647.6524787711537,177269
701.4085665,647.4366372891116,177159
701.3979475,647.220789271488,176873
701.3873285,647.0049347179902,177464
701.3767095,646.7890736283188,177132
701.3660905,646.5732060021833,176711
701.3554715,646.3573318392758,178020
701.3448525,646.1414511393081,176653
701.3342335,645.9255639019806,176891
701.3236145,645.7096701269942,176700
701.3129954999999,645.4937698140562,176988
701.3023765,645.2778629628675,177274
701.2917575,645.0619495731286,176839
701.2811385,644.8460296445469,176614
701.2705195,644.6301031768232,176693
701.2599005,644.4141701696582,178123
701.2492815,644.1982306227612,177628
701.2386625,643.9822845358289,177330
701.2280435,643.7663319085663,177644
701.2174245,643.5503727406762,176885
