Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
678.1200395,157.81074514291956,59588
678.1094205,157.5798167866016,59625
678.0988015,157.34888119762297,59754
678.0881825,157.11793837564977,59831
678.0775635,156.8869883203372,59816
678.0669445,156.656031031347,59904
678.0563255,156.4250665083409,59886
678.0457065,156.1940947509806,59803
678.0350875,155.9631157589214,59844
678.0244685,155.73212953182494,59809
678.0138495,155.501136069353,59799
678.0032305,155.2701353711651,59817
677.9926115,155.0391274369187,59762
677.9819925,154.8081122662798,59798
677.9713735,154.5770898589015,59741
677.9607545,154.3460602144455,59867
677.9501355,154.11502333257351,59773
677.9395165,153.88397921294515,59844
677.9288975,153.65292785521996,59857
677.9182785,153.42186925905963,59840
677.9076595,153.1908034241216,59793
677.8970405,152.95973035006324,59796
677.8864215,152.72865003655062,59890
677.8758025,152.49756248323678,59822
677.8651835,152.2664676897878,59863
677.8545645,152.03536565586109,59792
677.8439455,151.80425638111618,59838
677.8333265,151.57313986521046,59885
677.8227075,151.34201610780568,59831
677.8120885,151.1108851085614,59814
677.8014695,150.87974686713935,59739
677.7908505,150.64860138319474,59770
677.7802315,150.4174486563893,59855
677.7696125,150.18628868638476,59817
677.7589935,149.95512147283637,59789
677.7483745,149.7239470154058,59723
677.7377555,149.49276531375702,59786
677.7271365,149.26157636754087,59738
677.7165175,149.03038017642123,59814
677.7058985,148.7991767400599,59692
677.6952795,148.56796605811203,59838
677.6846605,148.33674813023723,59850
677.6740415,148.10552295610154,59801
677.6634225,147.87429053535584,59749
677.6528035,147.6430508676619,59902
677.6421845,147.4118039526814,59785
677.6315655,147.18054979007178,59797
677.6209465,146.94928837949254,59883
677.6103275,146.71801972060547,59746
677.5997085,146.48674381306574,59788
677.5890895,146.25546065653296,59771
677.5784705,146.02417025066885,59726
677.5678515,145.79287259513075,59790
677.5572325,145.56156768958044,59910
677.5466135,145.33025553367315,59807
677.5359945,145.0989361270684,59783
677.5253755,144.86760946942798,59880
677.5147565,144.6362755604092,59839
677.5041375,144.40493439967167,59834
677.4935185,144.17358598687713,59823
677.4828995,143.9422303216786,59838
677.4722805,143.71086740373784,59819
677.4616615,143.47949723271654,59832
677.4510425,143.2481198082678,59814
677.4404235,143.0167351300555,59787
677.4298045,142.7853431977392,59804
677.4191855,142.5539440109741,59788
677.4085665,142.3225375694198,59872
677.3979475,142.0911238727337,59876
677.3873285,141.85970292057965,59892
677.3767095,141.6282747126107,59747
677.3660905,141.39683924849297,59826
677.3554715,141.16539652787733,59781
677.3448525,140.93394655042547,59889
677.3342335,140.702489315797,59809
677.3236145,140.4710248236493,59762
677.3129954999999,140.2395530736419,59768
677.3023765,140.0080740654344,59801
677.2917575,139.77658779868418,59805
677.2811385,139.5450942730486,59797
677.2705195,139.31359348818725,59730
677.2599005,139.08208544375753,59822
677.2492815,138.85057013942335,59833
677.2386625,138.61904757483555,59790
677.2280435,138.38751774965806,59807
677.2174245,138.15598066354607,59749
677.2068055,137.9244363161592,59797
677.1961865,137.69288470715694,59737
677.1855675,137.4613258361989,59798
677.1749485,137.22975970293814,59878
677.1643295,136.99818630703635,59862
677.1537105,136.76660564815313,59796
677.1430915,136.53501772594367,59847
677.1324725,136.30342254006973,59831
677.1218535,136.07182009018865,59737
677.1112345,135.84021037595573,59718
677.1006155,135.60859339703046,59850
677.0899965,135.3769691530746,59826
677.0793775,135.14533764374124,59817
677.0687585,134.91369886869205,59828
677.0581395,134.68205282758444,59806
677.0475205,134.45039952007582,59777
677.0369015,134.21873894582356,59798
677.0262825,133.98707110448723,59809
677.0156635,133.75539599572423,59844
677.0050445,133.5237136191941,59816
676.9944255,133.29202397455208,59815
676.9838065,133.0603270614577,59864
676.9731875,132.82862287956843,59796
676.9625685,132.5969114285416,59842
676.9519495,132.36519270803677,59784
676.9413305,132.1334667177135,59878
676.9307115,131.90173345722488,59756
676.9200925,131.66999292623044,59859
676.9094735,131.43824512438974,59875
676.8988545,131.2064900513602,59913
676.8882355,130.974727706797,59770
676.8776165,130.74295809036408,59740
676.8669975,130.5111812017123,59799
676.8563785,130.27939704050124,59816
676.8457595,130.04760560639045,59934
676.8351405,129.81580689903515,59770
676.8245215,129.5840009180949,59793
