Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
539.1538253638254,292.2601030171373,59408
539.1413513513513,291.8309710768941,59509
539.1288773388773,291.4018192787032,59659
539.1164033264033,290.97264762118544,59765
539.1039293139293,290.5434561029595,59779
539.0914553014553,290.11424472264855,59790
539.0789812889813,289.68501347887127,59846
539.0665072765072,289.2557623702507,59750
539.0540332640333,288.8264913954099,59737
539.0415592515592,288.3972005529633,59733
539.0290852390852,287.96788984154256,59745
539.0166112266112,287.53855925975563,59738
539.0041372141371,287.10920880622774,59704
538.9916632016632,286.67983847958413,59812
538.9791891891891,286.25044827843914,59778
538.9667151767152,285.82103820141805,59804
538.9542411642411,285.3916082471331,59690
538.9417671517671,284.96215841420724,59721
538.9292931392931,284.53268870126584,59740
538.9168191268191,284.103199106921,59779
538.9043451143451,283.67368962979805,59724
538.8918711018711,283.24416026851134,59760
538.879397089397,282.8146110216796,59811
538.8669230769231,282.385041887928,59725
538.854449064449,281.9554528658689,59747
538.841975051975,281.5258439541296,59740
538.829501039501,281.0962151513158,59859
538.8170270270269,280.66656645605497,59665
538.804553014553,280.236897866968,59749
538.7920790020789,279.80720938266484,59696
538.779604989605,279.3775010017708,59786
538.7671309771309,278.94777272289815,59725
538.7546569646569,278.5180245446677,59744
538.7421829521829,278.0882564656982,59738
538.7297089397089,277.65846848460404,59815
538.7172349272349,277.2286606000083,59698
538.7047609147609,276.79883281052105,59762
538.6922869022869,276.36898511476744,59715
538.6798128898129,275.93911751135545,59713
538.6673388773388,275.5092299989081,59728
538.6548648648649,275.07932257604415,59732
538.6423908523908,274.6493952413757,59683
538.6299168399169,274.21944799352167,59737
538.6174428274428,273.7894808310963,59695
538.6049688149687,273.35949375271616,59733
538.5924948024948,272.9294867570022,59717
538.5800207900207,272.4994598425645,59718
538.5675467775468,272.06941300802384,59734
538.5550727650727,271.63934625199255,59802
538.5425987525987,271.2092595730849,59750
538.5301247401247,270.7791529699241,59771
538.5176507276507,270.349026441118,59695
538.5051767151767,269.9188799852874,59691
538.4927027027027,269.4887136010403,59722
538.4802286902286,269.0585272869953,59741
538.4677546777547,268.6283210417734,59730
538.4552806652806,268.19809486398026,59749
538.4428066528067,267.767848752239,59703
538.4303326403326,267.3375827051553,59739
538.4178586278585,266.90729672134785,59732
538.4053846153846,266.4769907994332,59766
538.3929106029105,266.04666493802154,59816
538.3804365904366,265.6163191357315,59738
538.3679625779625,265.1859533911709,59670
538.3554885654885,264.75556770295645,59745
538.3430145530145,264.3251620697068,59746
538.3305405405405,263.8947364900254,59663
538.3180665280665,263.4642909625355,59723
538.3055925155925,263.0338254858426,59778
538.2931185031184,262.6033400585635,59678
538.2806444906445,262.1728346793146,59721
538.2681704781704,261.7423093466994,59786
538.2556964656965,261.31176405934116,59660
538.2432224532224,260.88119881584544,59788
538.2307484407484,260.4506136148245,59729
538.2182744282744,260.02000845489925,59801
538.2058004158004,259.58938333466887,59719
538.1933264033264,259.1587382527586,59739
538.1808523908524,258.72807320776985,59803
538.1683783783783,258.2973881983192,59740
538.1559043659043,257.86668322302097,59794
538.1434303534303,257.43595828048086,59712
538.1309563409563,257.0052133693155,59652
538.1184823284823,256.57444848813276,59814
538.1060083160082,256.1436636355427,59738
538.0935343035343,255.712858810164,59702
538.0810602910602,255.28203401059807,59697
538.0685862785863,254.8511892354636,59668
538.0561122661122,254.42032448336423,59701
538.0436382536382,253.98943975291206,59636
538.0311642411642,253.5585350427259,59738
538.0186902286902,253.12761035140497,59733
538.0062162162162,252.69666567756792,59745
537.9937422037422,252.2657010198162,59713
537.9812681912681,251.83471637676632,59731
537.9687941787942,251.40371174702838,59753
537.9563201663201,250.97268712920805,59699
537.9438461538462,250.54164252191757,59716
537.9313721413721,250.11057792376482,59716
537.918898128898,249.67949333335773,59740
537.9064241164241,249.24838874931277,59712
537.89395010395,248.81726417022705,59748
537.8814760914761,248.38611959472146,59750
537.869002079002,247.95495502139735,59760
537.8565280665281,247.52377044886697,59688
537.844054054054,247.09256587573384,59671
537.83158004158,246.6613413006102,59724
537.819106029106,246.23009672210608,59781
537.806632016632,245.79883213882505,59784
537.794158004158,245.36754754937934,59755
537.781683991684,244.93624295237248,59780
537.7692099792099,244.5049183464145,59812
537.756735966736,244.07357373011553,59710
537.7442619542619,243.64220910207905,59807
537.731787941788,243.21082446091512,59785
537.7193139293139,242.7794198052273,59688
537.7068399168398,242.34799513362563,59772
537.6943659043659,241.916550444718,59727
537.6818918918918,241.485085737108,59680
537.6694178794179,241.0536010094056,59758
537.6569438669438,240.62209626021445,59740
537.6444698544698,240.19057148814017,59743
537.6319958419958,239.7590266917972,59756
537.6195218295218,239.3274618697804,59765
537.6070478170478,238.89587702070415,59741
537.5945738045738,238.46427214316768,59676
537.5820997920997,238.03264723578104,59788
537.5696257796258,237.60100229715425,59743
537.5571517671517,237.16933732588225,59715
537.5446777546778,236.73765232058156,59716
537.5322037422037,236.30594727984703,59782
537.5197297297296,235.87422220228876,59727
537.5072557172557,235.4424770865146,59710
537.4947817047816,235.01071193112378,59778
537.4823076923077,234.57892673472634,59722
537.4698336798336,234.14712149592148,59753
537.4573596673596,233.71529621331712,59772
537.4448856548856,233.28345088552112,59732
537.4324116424116,232.85158551112835,59733
537.4199376299376,232.41970008875322,59689
537.4074636174636,231.9877946169906,59723
537.3949896049895,231.55586909444835,59766
537.3825155925156,231.12392351973222,59743
537.3700415800415,230.6919578914414,59713
537.3575675675676,230.25997220818593,59758
537.3450935550935,229.82796646856073,59747
