Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
702.1200395,661.8835812830176,60100
702.1094205,661.6681704937357,60310
702.0988015,661.4527531884247,60365
702.0881825,661.2373293667898,60448
702.0775635,661.0218990285404,60582
702.0669445,660.8064621733749,60489
702.0563255,660.591018801001,60497
702.0457065,660.3755689111256,60520
702.0350875,660.1601125034452,60401
702.0244685,659.9446495776695,60547
702.0138495,659.7291801335009,60447
702.0032305,659.513704170645,60433
701.9926115,659.2982216888066,60380
701.9819925,659.0827326876888,60414
701.9713735,658.8672371669944,60534
701.9607545,658.6517351264264,60404
701.9501355,658.4362265656921,60499
701.9395165,658.2207114844965,60471
701.9288975,658.0051898825404,60540
701.9182785,657.7896617595311,60421
701.9076595,657.5741271151693,60455
701.8970405,657.3585859491579,60565
701.8864215,657.1430382612065,60478
701.8758025,656.9274840510135,60475
701.8651835,656.7119233182885,60465
701.8545645,656.4963560627322,60460
701.8439455,656.2807822840474,60392
701.8333265,656.0652019819372,60524
701.8227075,655.849615156111,60466
701.8120885,655.6340218062672,60508
701.8014695,655.4184219321135,60512
701.7908505,655.2028155333502,60442
701.7802315,654.9872026096826,60472
701.7696125,654.7715831608158,60504
701.7589935,654.5559571864505,60572
701.7483745,654.3403246862941,60498
701.7377555,654.1246856600494,60536
701.7271365,653.9090401074194,60546
701.7165175,653.6933880281069,60460
701.7058985,653.4777294218151,60529
701.6952795,653.2620642882508,60481
701.6846605,653.0463926271153,60471
701.6740415,652.8307144381155,60495
701.6634225,652.6150297209501,60301
701.6528035,652.3993384753243,60503
701.6421845,652.1836407009451,60447
701.6315655,651.9679363975115,60459
701.6209465,651.7522255647282,60499
701.6103275,651.5365082023026,60501
701.5997085,651.3207843099311,60397
701.5890895,651.1050538873234,60424
701.5784705,650.8893169341799,60499
701.5678515,650.6735734502058,60406
701.5572325,650.4578234351062,60474
701.5466135,650.2420668885777,60492
701.5359945,650.0263038103295,60382
701.5253755,649.8105342000624,60385
701.5147565,649.5947580574817,60448
701.5041375,649.37897538229,60394
701.4935185,649.1631861741927,60483
701.4828995,648.9473904328883,60515
701.4722805,648.7315881580818,60498
701.4616615,648.5157793494783,60502
701.4510425,648.2999640067808,60357
701.4404235,648.0841421296923,60476
701.4298045,647.8683137179178,60381
701.4191855,647.6524787711537,60453
701.4085665,647.4366372891116,60579
701.3979475,647.220789271488,60459
701.3873285,647.0049347179902,60412
701.3767095,646.7890736283188,60437
701.3660905,646.5732060021833,60458
701.3554715,646.3573318392758,60456
701.3448525,646.1414511393081,60453
701.3342335,645.9255639019806,60529
701.3236145,645.7096701269942,60552
701.3129954999999,645.4937698140562,60382
701.3023765,645.2778629628675,60407
701.2917575,645.0619495731286,60491
701.2811385,644.8460296445469,60478
701.2705195,644.6301031768232,60399
701.2599005,644.4141701696582,60438
701.2492815,644.1982306227612,60458
701.2386625,643.9822845358289,60632
701.2280435,643.7663319085663,60386
701.2174245,643.5503727406762,60547
701.2068055,643.3344070318593,68544
701.1961865,643.1184347818232,60840
701.1855675,642.9024559902706,60447
701.1749485,642.686470656898,60433
701.1643295,642.4704787814126,60457
701.1537105,642.2544803635172,60526
701.1430915,642.0384754029151,60423
701.1324725,641.8224638993046,60494
701.1218535,641.6064458523974,60451
701.1112345,641.3904212618855,60521
701.1006155,641.1743901274785,60582
701.0899965,640.958352448877,60485
701.0793775,640.7423082257818,60549
701.0687585,640.526257457898,60479
701.0581395,640.3102001449308,60519
701.0475205,640.0941362865788,60421
701.0369015,639.8780658825425,60455
701.0262825,639.6619889325293,60495
701.0156635,639.4459054362379,60399
701.0050445,639.2298153933776,60467
700.9944255,639.0137188036407,60508
700.9838065,638.7976156667363,60460
700.9731875,638.5815059823655,60508
700.9625685,638.3653897502309,60456
700.9519495,638.1492669700335,60478
700.9413305,637.9331376414805,60490
700.9307115,637.7170017642683,60460
700.9200925,637.500859338102,60542
700.9094735,637.2847103626824,60413
700.8988545,637.0685548377146,60426
700.8882355,636.8523927628971,60392
700.8776165,636.6362241379372,60462
700.8669975,636.4200489625337,60574
700.8563785,636.2038672363891,60403
700.8457595,635.9876789592046,60472
700.8351405,635.771484130685,60473
700.8245215,635.5552827505312,60466
700.8139025,635.3390748184482,60378
700.8032835,635.1228603341326,60434
700.7926645,634.9066392972915,60415
700.7820455,634.6904117076235,60476
700.7714265,634.4741775648316,60502
700.7608075,634.257936868621,60441
700.7501885,634.0416896186899,60502
700.7395695,633.8254358147395,60583
700.7289505,633.6091754564768,60499
700.7183315,633.3929085436006,60482
700.7077125,633.1766350758114,60452
700.6970935,632.9603550528167,60408
700.6864745,632.7440684743128,60487
700.6758555,632.5277753400048,60503
700.6652365,632.3114756495935,60493
700.6546175,632.0951694027796,60389
700.6439985,631.8788565992661,60462
700.6333795,631.6625372387581,60458
