Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
525.3638253638254,-194.58567678570358,59752
525.3513513513514,-195.03763278408286,59880
525.3388773388773,-195.48961024557985,59897
525.3264033264034,-195.9416091717168,59985
525.3139293139293,-196.3936295640333,60076
525.3014553014553,-196.84567142404936,60053
525.2889812889813,-197.2977347533024,60038
525.2765072765072,-197.74981955331899,60093
525.2640332640333,-198.20192582562348,60091
525.2515592515592,-198.6540535717533,59986
525.2390852390853,-199.10620279323282,59962
525.2266112266112,-199.5583734915973,59947
525.2141372141372,-200.0105656683733,59988
525.2016632016632,-200.46277932508949,59999
525.1891891891892,-200.91501446328328,60027
525.1767151767152,-201.36727108447695,59900
525.1642411642412,-201.81954919021,60024
525.1517671517671,-202.27184878200688,59960
525.1392931392932,-202.72416986139842,60000
525.1268191268191,-203.17651242992207,59993
525.1143451143452,-203.6288764891,60043
525.1018711018711,-204.0812620404762,60005
525.089397089397,-204.53366908557277,59968
525.0769230769231,-204.98609762592068,60050
525.064449064449,-205.4385476630595,60005
525.0519750519751,-205.8910191985136,60016
525.039501039501,-206.34351223382254,60016
525.027027027027,-206.79602677051503,60023
525.014553014553,-207.24856281011984,60007
525.002079002079,-207.7011203541787,59946
524.989604989605,-208.15369940421377,60027
524.977130977131,-208.60629996176903,60091
524.9646569646569,-209.058922028371,59950
524.952182952183,-209.51156560555057,59981
524.9397089397089,-209.9642306948495,60057
524.927234927235,-210.41691729779214,60018
524.9147609147609,-210.86962541592243,59965
524.902286902287,-211.32235505076255,60055
524.8898128898129,-211.77510620385863,60013
524.8773388773388,-212.22787887673718,59976
524.8648648648649,-212.68067307093128,59990
524.8523908523908,-213.13348878798266,59946
524.8399168399169,-213.5863260294157,60022
524.8274428274428,-214.03918479677648,60005
524.8149688149688,-214.4920650915959,60030
524.8024948024948,-214.9449669154005,59936
524.7900207900208,-215.39789026973855,59993
524.7775467775468,-215.85083515613658,60016
524.7650727650728,-216.30380157613635,60051
524.7525987525987,-216.75678953126874,59950
524.7401247401248,-217.20979902306678,59995
524.7276507276507,-217.6628300530766,60018
524.7151767151768,-218.11588262282254,60029
524.7027027027027,-218.5689567338507,60064
524.6902286902287,-219.02205238769415,60009
524.6777546777547,-219.47516958588594,59975
524.6652806652806,-219.9283083299656,59999
524.6528066528067,-220.38146862146843,59924
524.6403326403326,-220.8346504619361,59980
524.6278586278586,-221.28785385290172,60080
524.6153846153846,-221.74107879590048,60066
524.6029106029106,-222.19432529247416,60031
524.5904365904366,-222.64759334415578,59973
524.5779625779626,-223.1008829524893,59943
524.5654885654885,-223.55419411900988,60039
524.5530145530146,-224.00752684524844,59998
524.5405405405405,-224.46088113275542,59930
524.5280665280666,-224.91425698305733,60045
524.5155925155925,-225.36765439770463,59917
524.5031185031185,-225.82107337822816,60060
524.4906444906445,-226.27451392616317,59932
524.4781704781705,-226.72797604305794,59944
524.4656964656965,-227.18145973044113,60001
524.4532224532225,-227.6349649898632,59992
524.4407484407484,-228.08849182285934,60023
524.4282744282744,-228.54204023096048,59951
524.4158004158004,-228.99561021571915,60008
524.4033264033264,-229.44920177866416,60086
524.3908523908524,-229.90281492134366,60033
524.3783783783783,-230.35644964529726,59925
524.3659043659044,-230.81010595205586,60024
524.3534303534303,-231.26378384316985,59979
524.3409563409564,-231.71748332017228,59975
524.3284823284823,-232.1712043846136,59968
524.3160083160083,-232.62494703802685,60058
524.3035343035343,-233.0787112819494,59989
524.2910602910603,-233.5324971179339,60033
524.2785862785863,-233.986304547509,60088
524.2661122661123,-234.44013357222732,60011
524.2536382536382,-234.89398419362408,60108
524.2411642411643,-235.34785641323884,59967
524.2286902286902,-235.80175023262203,60008
524.2162162162163,-236.2556656533045,60070
524.2037422037422,-236.7096026768367,60062
524.1912681912681,-237.16356130476035,59940
524.1787941787942,-237.61754153861068,59995
524.1663201663201,-238.0715433799403,60019
524.1538461538462,-238.52556683028004,59963
524.1413721413721,-238.97961189118686,60069
524.1288981288981,-239.43367856419383,59933
524.1164241164241,-239.88776685084264,59973
524.1039501039501,-240.3418767526859,60115
524.0914760914761,-240.7960082712545,59917
524.0790020790021,-241.25016140810536,60065
524.0665280665281,-241.7043361647715,59974
524.0540540540541,-242.15853254280555,59989
524.04158004158,-242.61275054374707,59909
524.0291060291061,-243.0669901691356,59999
524.016632016632,-243.52125142052373,60120
524.0041580041581,-243.9755342994467,59956
523.991683991684,-244.42983880746144,59982
523.9792099792099,-244.8841649461031,59970
523.966735966736,-245.33851271691785,59976
523.9542619542619,-245.79288212145389,59984
523.941787941788,-246.24727316125296,59932
523.9293139293139,-246.70168583786327,59938
523.9168399168399,-247.15612015283094,60017
523.9043659043659,-247.61057610769552,60000
523.8918918918919,-248.06505370400956,60003
523.8794178794179,-248.51955294331268,59985
