Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
553.3638253638254,768.5491804111048,82469
553.3513513513514,768.1418053541423,83102
553.3388773388773,767.7344119301292,82992
553.3264033264034,767.3270001378255,83333
553.3139293139293,766.919569975984,83034
553.3014553014553,766.512121443371,82855
553.2889812889813,766.104654538731,82885
553.2765072765072,765.6971692608303,83045
553.2640332640333,765.2896656084283,82824
553.2515592515592,764.8821435802741,83414
553.2390852390853,764.4746031751316,83182
553.2266112266112,764.0670443917518,82733
553.2141372141372,763.6594672288965,83525
553.2016632016632,763.2518716853233,83168
553.1891891891892,762.8442577597809,83110
553.1767151767152,762.4366254510356,83272
553.1642411642412,762.0289747578362,83041
553.1517671517671,761.6213056789402,83053
553.1392931392932,761.2136182131094,83072
553.1268191268191,760.8059123590926,83323
553.1143451143452,760.3981881156518,82831
553.1018711018711,759.9904454815378,83042
553.089397089397,759.5826844555062,83569
553.0769230769231,759.1749050363206,82769
553.064449064449,758.7671072227259,83370
553.0519750519751,758.359291013486,83003
553.039501039501,757.9514564073496,83082
553.027027027027,757.5436034030721,83055
553.014553014553,757.1357319994177,82919
553.002079002079,756.7278421951283,82955
552.989604989605,756.3199339889704,83189
552.977130977131,755.9120073796885,82699
552.9646569646569,755.5040623660421,82896
552.952182952183,755.096098946789,82800
552.9397089397089,754.6881171206754,83001
552.927234927235,754.2801168864657,83137
552.9147609147609,753.8720982429043,83252
552.902286902287,753.4640611887509,83118
552.8898128898129,753.0560057227563,83283
552.8773388773388,752.6479318436759,82898
552.8648648648649,752.2398395502653,82936
552.8523908523908,751.831728841273,82743
552.8399168399169,751.4235997154589,82896
552.8274428274428,751.0154521715696,83097
552.8149688149688,750.6072862083624,83024
552.8024948024948,750.1991018245931,82725
552.7900207900208,749.7908990190057,83225
552.7775467775468,749.3826777903645,82920
552.7650727650728,748.9744381374117,82676
552.7525987525987,748.5661800589027,83178
552.7401247401248,748.1579035535971,82883
552.7276507276507,747.7496086202395,83252
552.7151767151768,747.3412952575874,83129
552.7027027027027,746.9329634643873,82640
552.6902286902287,746.5246132393926,82875
