Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
553.3638253638254,768.5491804111048,91315
553.3513513513514,768.1418053541423,91279
553.3388773388773,767.7344119301292,91366
553.3264033264034,767.3270001378255,91464
553.3139293139293,766.919569975984,91264
553.3014553014553,766.512121443371,91865
553.2889812889813,766.104654538731,91616
553.2765072765072,765.6971692608303,91492
553.2640332640333,765.2896656084283,91479
553.2515592515592,764.8821435802741,91328
553.2390852390853,764.4746031751316,91837
553.2266112266112,764.0670443917518,91682
553.2141372141372,763.6594672288965,91434
553.2016632016632,763.2518716853233,92078
553.1891891891892,762.8442577597809,91525
553.1767151767152,762.4366254510356,91151
553.1642411642412,762.0289747578362,91572
553.1517671517671,761.6213056789402,91527
553.1392931392932,761.2136182131094,91762
553.1268191268191,760.8059123590926,91029
553.1143451143452,760.3981881156518,91723
553.1018711018711,759.9904454815378,91654
553.089397089397,759.5826844555062,91705
553.0769230769231,759.1749050363206,91703
553.064449064449,758.7671072227259,91521
553.0519750519751,758.359291013486,91545
553.039501039501,757.9514564073496,91604
553.027027027027,757.5436034030721,91504
553.014553014553,757.1357319994177,91459
553.002079002079,756.7278421951283,91396
552.989604989605,756.3199339889704,91572
552.977130977131,755.9120073796885,91744
552.9646569646569,755.5040623660421,91388
552.952182952183,755.096098946789,91602
552.9397089397089,754.6881171206754,91101
552.927234927235,754.2801168864657,91283
552.9147609147609,753.8720982429043,91400
552.902286902287,753.4640611887509,91401
552.8898128898129,753.0560057227563,91476
552.8773388773388,752.6479318436759,91639
552.8648648648649,752.2398395502653,91169
552.8523908523908,751.831728841273,91221
552.8399168399169,751.4235997154589,91767
552.8274428274428,751.0154521715696,91272
552.8149688149688,750.6072862083624,91504
552.8024948024948,750.1991018245931,91245
552.7900207900208,749.7908990190057,90926
552.7775467775468,749.3826777903645,91336
552.7650727650728,748.9744381374117,91367
552.7525987525987,748.5661800589027,91679
552.7401247401248,748.1579035535971,91357
552.7276507276507,747.7496086202395,91146
552.7151767151768,747.3412952575874,91095
552.7027027027027,746.9329634643873,91415
552.6902286902287,746.5246132393926,91038
552.6777546777547,746.1162445813628,91260
552.6652806652806,745.7078574890403,91329
552.6528066528067,745.2994519611847,90988
552.6403326403326,744.8910279965384,91635
552.6278586278586,744.4825855938589,90984
552.6153846153846,744.0741247518993,90868
552.6029106029106,743.6656454694064,91156
552.5904365904366,743.2571477451354,91251
552.5779625779626,742.848631577833,91322
552.5654885654885,742.4400969662523,91256
552.5530145530146,742.0315439091466,91238
552.5405405405405,741.6229724052625,91186
552.5280665280666,741.2143824533555,91028
552.5155925155925,740.8057740521698,91510
552.5031185031185,740.3971472004587,91181
552.4906444906445,739.9885018969776,90892
552.4781704781705,739.5798381404666,91124
552.4656964656965,739.1711559296853,91171
552.4532224532225,738.7624552633761,91405
552.4407484407484,738.3537361402944,90849
552.4282744282744,737.9449985591888,90852
552.4158004158004,737.5362425188041,91260
552.4033264033264,737.1274680178976,90526
552.3908523908524,736.7186750552117,91126
552.3783783783783,736.3098636294974,90898
552.3659043659044,735.90103373951,90816
552.3534303534303,735.4921853839897,91035
552.3409563409564,735.0833185616918,90947
552.3284823284823,734.6744332713587,91012
552.3160083160083,734.2655295117456,91026
552.3035343035343,733.8566072815993,90804
552.2910602910603,733.4476665796664,90574
552.2785862785863,733.0387074046979,90903
552.2661122661123,732.6297297554382,90871
552.2536382536382,732.2207336306385,90730
552.2411642411643,731.8117190290474,91104
552.2286902286902,731.4026859494096,90727
552.2162162162163,730.9936343904782,91041
552.2037422037422,730.5845643509933,90768
552.1912681912681,730.175475829706,91000
552.1787941787942,729.7663688253693,91039
552.1663201663201,729.3572433367214,90815
