Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
552.1200395,-3207.5409448552955,64443
552.1094205,-3207.8893021850813,64500
552.0988015,-3208.2376729153934,64717
552.0881825,-3208.586057047004,64842
552.0775635,-3208.934454580685,64745
552.0669445,-3209.2828655172098,64850
552.0563255,-3209.631289857349,64624
552.0457065,-3209.9797276018767,64736
552.0350875,-3210.328178751573,64786
552.0244685,-3210.676643307204,64798
552.0138495,-3211.0251212695475,64780
552.0032305,-3211.373612639376,64710
551.9926115,-3211.722117417463,64788
551.9819925,-3212.070635604579,64634
551.9713735,-3212.4191672015063,64769
551.9607545,-3212.7677122090126,64672
551.9501355,-3213.1162706278724,64692
551.9395165,-3213.4648424588613,64777
551.9288975,-3213.8134277027543,64824
551.9182785,-3214.162026360318,64599
551.9076595,-3214.510638432338,64616
551.8970405,-3214.859263919584,64803
551.8864215,-3215.207902822828,64755
551.8758025,-3215.5565551428485,64746
551.8651835,-3215.905220880415,64624
551.8545645,-3216.2539000363017,64864
551.8439455,-3216.6025926112916,64649
551.8333265,-3216.951298606152,64710
551.8227075,-3217.300018021662,64736
551.8120885,-3217.6487508585924,64638
551.8014695,-3217.997497117716,64926
551.7908505,-3218.346256799816,64686
551.7802315,-3218.695029905663,64753
551.7696125,-3219.0438164360303,64763
551.7589935,-3219.392616391696,64921
551.7483745,-3219.7414297734335,64830
551.7377555,-3220.090256582013,64692
551.7271365,-3220.43909681822,64608
551.7165175,-3220.7879504828256,64586
551.7058985,-3221.1368175766047,64907
551.6952795,-3221.485698100331,64474
551.6846605,-3221.834592054783,64702
551.6740415,-3222.1834994407304,64561
551.6634225,-3222.5324202589563,64900
551.6528035,-3222.8813545102344,64946
551.6421845,-3223.2303021953394,64810
551.6315655,-3223.579263315047,64817
551.6209465,-3223.928237870133,64756
551.6103275,-3224.277225861371,64674
551.5997085,-3224.626227289543,64730
551.5890895,-3224.97524215542,64737
551.5784705,-3225.3242704597797,64712
551.5678515,-3225.6733122033993,64802
551.5572325,-3226.02236738705,64750
551.5466135,-3226.3714360115155,64792
551.5359945,-3226.7205180775704,64819
551.5253755,-3227.069613585987,64646
551.5147565,-3227.4187225375454,64782
551.5041375,-3227.76784493302,64689
551.4935185,-3228.116980773187,64780
551.4828995,-3228.466130058825,64703
551.4722805,-3228.815292790712,64765
551.4616615,-3229.1644689696227,64771
551.4510425,-3229.5136585963332,64854
551.4404235,-3229.8628616716214,64582
551.4298045,-3230.2120781962603,64810
551.4191855,-3230.561308171034,64741
551.4085665,-3230.910551596717,64795
551.3979475,-3231.2598084740857,64726
551.3873285,-3231.6090788039182,64619
551.3767095,-3231.9583625869886,64835
551.3660905,-3232.307659824076,64770
551.3554715,-3232.656970515958,64770
551.3448525,-3233.0062946634157,64756
551.3342335,-3233.355632267221,64690
551.3236145,-3233.7049833281544,64817
551.3129954999999,-3234.0543478469904,64775
551.3023765,-3234.403725824507,64714
551.2917575,-3234.7531172614895,64867
551.2811385,-3235.1025221587074,64667
551.2705195,-3235.4519405169417,64656
551.2599005,-3235.8013723369704,64724
551.2492815,-3236.1508176195657,64743
551.2386625,-3236.5002763655143,64441
551.2280435,-3236.8497485755934,64728
551.2174245,-3237.1992342505764,64795
551.2068055,-3237.5487333912442,64666
551.1961865,-3237.8982459983754,64864
551.1855675,-3238.2477720727416,64703
551.1749485,-3238.5973116151317,64699
551.1643295,-3238.946864626319,64762
551.1537105,-3239.2964311070828,64763
551.1430915,-3239.646011058202,64752
551.1324725,-3239.9956044804535,64673
551.1218535,-3240.3452113746125,64758
551.1112345,-3240.694831741467,64667
551.1006155,-3241.044465581791,64687
551.0899965,-3241.3941128963643,64875
551.0793775,-3241.7437736859642,64867
551.0687585,-3242.093447951369,64733
551.0581395,-3242.4431356933565,64626
551.0475205,-3242.792836912712,64654
551.0369015,-3243.1425516102126,64734
551.0262825,-3243.492279786635,64775
551.0156635,-3243.8420214427597,64570
551.0050445,-3244.1917765793614,64661
550.9944255,-3244.541545197228,64766
550.9838065,-3244.891327297136,64636
550.9731875,-3245.241122879863,64792
550.9625685,-3245.590931946188,64732
550.9519495,-3245.9407544968935,64806
